,Tuner,N_iter,Max Depth,Max Features,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target,Energy (J),Runtime (ms),Power (W)
0,random,4,3,0.314125363992566,72,0.7953539823008849,0.6510954650006406,0.8135286372613562,0.6715574312978823,0.7953539823008849,f1,118.51,3463472416.0,3.421710519550447e-11
1,bayes,4,5,0.5299580881338504,138,0.8329646017699115,0.672214381604764,0.8166936749886058,0.7037718611045406,0.8329646017699115,f1,147.16,4051972395.0,3.6318115143526293e-11
2,random,5,3,0.314125363992566,72,0.7953539823008849,0.6510954650006406,0.8135286372613562,0.6715574312978823,0.7953539823008849,f1,138.69,4032078146.0,3.43966547715814e-11
3,bayes,5,5,0.5299580881338504,138,0.8329646017699115,0.672214381604764,0.8166936749886058,0.7037718611045406,0.8329646017699115,f1,161.3,4605690773.0,3.5021890949690124e-11
4,random,6,3,0.314125363992566,72,0.7953539823008849,0.6510954650006406,0.8135286372613562,0.6715574312978823,0.7953539823008849,f1,154.04,4408501312.0,3.494157971115967e-11
5,bayes,6,5,0.5299580881338504,138,0.8329646017699115,0.672214381604764,0.8166936749886058,0.7037718611045406,0.8329646017699115,f1,179.99,5398460537.0,3.334098652132094e-11
6,random,7,4,0.6641630081567773,125,0.8008849557522124,0.6516940900352051,0.8076669873904897,0.6739862157397019,0.8008849557522124,f1,175.69,5154937357.0,3.4081888456205344e-11
7,bayes,7,5,0.5299580881338504,138,0.8329646017699115,0.672214381604764,0.8166936749886058,0.7037718611045406,0.8329646017699115,f1,208.89,6098996635.0,3.4249895925709096e-11
8,random,8,4,0.6641630081567773,125,0.8008849557522124,0.6516940900352051,0.8076669873904897,0.6739862157397019,0.8008849557522124,f1,193.55,5750919073.0,3.3655490112649686e-11
9,bayes,8,5,0.5299580881338504,138,0.8329646017699115,0.672214381604764,0.8166936749886058,0.7037718611045406,0.8329646017699115,f1,222.18,6606549621.0,3.3630262806740224e-11
10,random,9,5,0.5781595755271471,65,0.831858407079646,0.6725924310175592,0.8205550210158505,0.7041043972608639,0.831858407079646,f1,207.98,6044983449.0,3.440538783185674e-11
11,bayes,9,5,0.5299580881338504,138,0.8329646017699115,0.672214381604764,0.8166936749886058,0.7037718611045406,0.8329646017699115,f1,237.66,7170359990.0,3.314477938784772e-11
12,random,10,5,0.5781595755271471,65,0.831858407079646,0.6725924310175592,0.8205550210158505,0.7041043972608639,0.831858407079646,f1,234.59,6650521832.0,3.5273923750048374e-11
13,bayes,10,5,0.5299580881338504,138,0.8329646017699115,0.672214381604764,0.8166936749886058,0.7037718611045406,0.8329646017699115,f1,270.69,8039738112.0,3.3669007152853885e-11
14,random,11,5,0.5781595755271471,65,0.831858407079646,0.6725924310175592,0.8205550210158505,0.7041043972608639,0.831858407079646,f1,264.16,7545610929.0,3.500843105821366e-11
15,bayes,11,5,0.5299580881338504,138,0.8329646017699115,0.672214381604764,0.8166936749886058,0.7037718611045406,0.8329646017699115,f1,308.67,8962734570.0,3.4439266006289864e-11
16,random,12,5,0.7779253807270476,118,0.8307522123893806,0.671697818362175,0.8199346736213096,0.7029170881956841,0.8307522123893807,f1,294.71,8301546544.0,3.550061406485803e-11
17,bayes,12,5,0.261458229062503,115,0.8462389380530974,0.6826263064626957,0.8196561503013116,0.7169240473535409,0.8462389380530974,f1,357.5,10148886936.0,3.522553776137565e-11
18,random,13,5,0.7779253807270476,118,0.8307522123893806,0.671697818362175,0.8199346736213096,0.7029170881956841,0.8307522123893807,f1,315.8,8907039731.0,3.545510175517595e-11
19,bayes,13,5,0.261458229062503,115,0.8462389380530974,0.6826263064626957,0.8196561503013116,0.7169240473535409,0.8462389380530974,f1,398.19,11145920504.0,3.572517854017524e-11
20,random,14,5,0.7779253807270476,118,0.8307522123893806,0.671697818362175,0.8199346736213096,0.7029170881956841,0.8307522123893807,f1,333.74,9529362583.0,3.5022279516929996e-11
21,bayes,14,5,0.2,150,0.8484513274336283,0.6835251095951771,0.8164151516686079,0.7178803210088589,0.8484513274336283,f1,455.22,12756538278.0,3.5685229807609726e-11
22,random,15,4,0.2674671582049007,142,0.827433628318584,0.6664303631802814,0.8091102445941156,0.696317670872992,0.827433628318584,f1,356.82,10495870619.0,3.3996226987980554e-11
23,bayes,15,5,0.2,150,0.8484513274336283,0.6835251095951771,0.8164151516686079,0.7178803210088589,0.8484513274336283,f1,517.3,14366156769.0,3.600823855105461e-11
24,random,16,4,0.2674671582049007,142,0.827433628318584,0.6664303631802814,0.8091102445941156,0.696317670872992,0.827433628318584,f1,367.72,10771320736.0,3.413880331044299e-11
25,bayes,16,5,0.2,150,0.8484513274336283,0.6835251095951771,0.8164151516686079,0.7178803210088589,0.8484513274336283,f1,568.94,15621049954.0,3.642136742891054e-11
26,random,17,4,0.2674671582049007,142,0.827433628318584,0.6664303631802814,0.8091102445941156,0.696317670872992,0.827433628318584,f1,386.26,11457809188.0,3.371150572175159e-11
27,bayes,17,5,0.2,150,0.8484513274336283,0.6835251095951771,0.8164151516686079,0.7178803210088589,0.8484513274336283,f1,612.89,16565058067.0,3.699896478002488e-11
28,random,18,5,0.2546057039484994,58,0.8407079646017699,0.6812807744735305,0.8299994935939636,0.7152855543113101,0.8407079646017699,f1,392.87,11554435858.0,3.400166004019891e-11
29,bayes,18,5,0.2,150,0.8484513274336283,0.6835251095951771,0.8164151516686079,0.7178803210088589,0.8484513274336283,f1,660.15,17840703388.0,3.700246484922952e-11
30,random,19,5,0.2546057039484994,58,0.8407079646017699,0.6812807744735305,0.8299994935939636,0.7152855543113101,0.8407079646017699,f1,403.09,12039123203.0,3.348167413882391e-11
31,bayes,19,5,0.2007146600458575,52,0.8418141592920354,0.6722943722943723,0.7947662936142199,0.7038625331308259,0.8418141592920354,f1,685.07,18481702455.0,3.706747263505818e-11
32,random,20,5,0.2546057039484994,58,0.8407079646017699,0.6812807744735305,0.8299994935939636,0.7152855543113101,0.8407079646017699,f1,427.64,12713711985.0,3.363612456413531e-11
33,bayes,20,5,0.2007146600458575,52,0.8418141592920354,0.6722943722943723,0.7947662936142199,0.7038625331308259,0.8418141592920354,f1,750.26,19871193711.0,3.775616155282519e-11
34,random,21,5,0.2546057039484994,58,0.8407079646017699,0.6812807744735305,0.8299994935939636,0.7152855543113101,0.8407079646017699,f1,452.09,13345144787.0,3.387673998414746e-11
35,bayes,21,5,0.2007146600458575,52,0.8418141592920354,0.6722943722943723,0.7947662936142199,0.7038625331308259,0.8418141592920354,f1,799.97,21482833972.0,3.723763824841052e-11
36,random,22,5,0.2546057039484994,58,0.8407079646017699,0.6812807744735305,0.8299994935939636,0.7152855543113101,0.8407079646017699,f1,467.86,13844464275.0,3.3794012589194246e-11
37,bayes,22,5,0.2007146600458575,52,0.8418141592920354,0.6722943722943723,0.7947662936142199,0.7038625331308259,0.8418141592920354,f1,850.99,22668066163.0,3.754135857380857e-11
38,random,23,5,0.2546057039484994,58,0.8407079646017699,0.6812807744735305,0.8299994935939636,0.7152855543113101,0.8407079646017699,f1,496.58,14833089127.0,3.347785452836644e-11
39,bayes,23,5,0.2007146600458575,52,0.8418141592920354,0.6722943722943723,0.7947662936142199,0.7038625331308259,0.8418141592920354,f1,891.92,24075982774.0,3.7046047439575225e-11
40,random,24,5,0.2546057039484994,58,0.8407079646017699,0.6812807744735305,0.8299994935939636,0.7152855543113101,0.8407079646017699,f1,523.69,15344605673.0,3.4128605919243164e-11
41,bayes,24,5,0.2007146600458575,52,0.8418141592920354,0.6722943722943723,0.7947662936142199,0.7038625331308259,0.8418141592920354,f1,955.48,25662806768.0,3.723209267941132e-11
42,random,25,5,0.2546057039484994,58,0.8407079646017699,0.6812807744735305,0.8299994935939636,0.7152855543113101,0.8407079646017699,f1,534.95,15891036198.0,3.366363233552557e-11
43,bayes,25,5,0.2007146600458575,52,0.8418141592920354,0.6722943722943723,0.7947662936142199,0.7038625331308259,0.8418141592920354,f1,1027.49,26992890874.0,3.806520779105196e-11
44,random,26,5,0.2546057039484994,58,0.8407079646017699,0.6812807744735305,0.8299994935939636,0.7152855543113101,0.8407079646017699,f1,543.82,16194807282.0,3.357989944125104e-11
45,bayes,26,5,0.2007146600458575,52,0.8418141592920354,0.6722943722943723,0.7947662936142199,0.7038625331308259,0.8418141592920354,f1,1068.4,27964757387.0,3.820523043395571e-11
46,random,27,5,0.2546057039484994,58,0.8407079646017699,0.6812807744735305,0.8299994935939636,0.7152855543113101,0.8407079646017699,f1,565.18,16601448002.0,3.4044018324902255e-11
47,bayes,27,5,0.2007146600458575,52,0.8418141592920354,0.6722943722943723,0.7947662936142199,0.7038625331308259,0.8418141592920354,f1,1115.73,29463330375.0,3.786842783213369e-11
48,grid,27,5,0.2,150,0.8484513274336283,0.6835251095951771,0.8164151516686079,0.7178803210088589,0.8484513274336283,f1,542.16,17386292577.0,3.1183186271535154e-11
