,Tuner,N_iter,Max Depth,Max Features,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target,Energy (J),Runtime (ms),Power (W)
0,random,4,3,0.2989845541137979,97,0.5566502463054187,0.6183851609383525,0.7024826897885347,0.5761787505699955,0.5566502463054187,f1_macro,95.65,3006616120.0,3.181317340904831e-11
1,bayes,4,4,0.2831779913190069,66,0.5911330049261084,0.6144700460829493,0.7007499358881057,0.6029942351110233,0.5911330049261084,f1_macro,102.68,3355192057.0,3.0603315177078105e-11
2,random,5,4,0.704725128844631,87,0.5714285714285714,0.6391666666666667,0.7106127710893477,0.5910277902261172,0.5714285714285714,f1_macro,104.4,3414162388.0,3.057851037400627e-11
3,bayes,5,4,0.2831779913190069,66,0.5911330049261084,0.6144700460829493,0.7007499358881057,0.6029942351110233,0.5911330049261084,f1_macro,113.44,3842007232.0,2.95262328126716e-11
4,random,6,4,0.704725128844631,87,0.5714285714285714,0.6391666666666667,0.7106127710893477,0.5910277902261172,0.5714285714285714,f1_macro,113.75,3760656272.0,3.0247380183859566e-11
5,bayes,6,4,0.2831779913190069,66,0.5911330049261084,0.6144700460829493,0.7007499358881057,0.6029942351110233,0.5911330049261084,f1_macro,126.1,4349745725.0,2.8990200340963607e-11
6,random,7,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro,122.82,4354047911.0,2.820823346700192e-11
7,bayes,7,4,0.2831779913190069,66,0.5911330049261084,0.6144700460829493,0.7007499358881057,0.6029942351110233,0.5911330049261084,f1_macro,137.32,4702597458.0,2.9200883389751535e-11
8,random,8,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro,134.68,4870589609.0,2.7651683022345973e-11
9,bayes,8,4,0.4708592498258322,91,0.645320197044335,0.6335983835983836,0.7195087296141504,0.6425839793281654,0.645320197044335,f1_macro,141.69,5330482137.0,2.6581085229889402e-11
10,random,9,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro,140.15,5091114179.0,2.7528355301496765e-11
11,bayes,9,4,0.4708592498258322,91,0.645320197044335,0.6335983835983836,0.7195087296141504,0.6425839793281654,0.645320197044335,f1_macro,153.49,5675864667.0,2.704257571404142e-11
12,random,10,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro,153.4,5671666476.0,2.7046724388523443e-11
13,bayes,10,4,0.4708592498258322,91,0.645320197044335,0.6335983835983836,0.7195087296141504,0.6425839793281654,0.645320197044335,f1_macro,193.77,6532667232.0,2.966169760658031e-11
14,random,11,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro,167.79,6220190786.0,2.6975056838714786e-11
15,bayes,11,5,0.2,50,0.7192118226600985,0.6846259437199725,0.7601591361182155,0.7066526331759307,0.7192118226600985,f1_macro,237.83,7468835196.0,3.1842984047548933e-11
16,random,12,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro,175.78,6758428290.0,2.60090057121846e-11
