,Tuner,N_iter,Max Depth,Max Features,N Estimators,MSE,MAE,Target,Energy (J),Runtime (ms),Power (W)
0,random,1,4,0.5597594584509529,130,0.4164990091091042,0.517743583584455,MSE,76.13,1885224273.0,4.038246329114605e-11
1,random,1,5,0.8093625577427599,75,0.4111033888174912,0.5069772572878953,MSE,72.28,1654883109.0,4.3676800860984556e-11
2,random,1,4,0.5676394076748101,73,0.4196071984738586,0.5219747334627881,MSE,70.57,1608239310.0,4.388028545328866e-11
3,random,1,4,0.9456887412142494,145,0.4149621787849707,0.5116710093467134,MSE,78.03,1915528437.0,4.0735495486669197e-11
4,random,1,3,0.7421433188506843,85,0.4272156122368315,0.5294548707048842,MSE,73.04,1677236211.0,4.3547831558234826e-11
5,bayes,1,4,0.453722007145464,54,0.4335465515904254,0.5286136882341598,MSE,68.41,1570924768.0,4.3547597818509915e-11
6,bayes,1,4,0.5900211788872174,89,0.4202450265030139,0.5215518110882366,MSE,72.13,1682534688.0,4.2869844238242534e-11
7,bayes,1,3,0.5028680340910853,133,0.4285690734938033,0.5291790175238615,MSE,73.83,1900257357.0,3.8852632106925716e-11
8,bayes,1,4,0.4062488306413084,84,0.4274621199288873,0.5266181761011716,MSE,71.33,1664513670.0,4.2853357882005257e-11
9,bayes,1,3,0.3842587367149395,101,0.4348216330922101,0.5330000879669272,MSE,71.55,1744441892.0,4.101598358083916e-11
10,random,2,4,0.7335494442199615,139,0.4129419813540985,0.5135750432161524,MSE,82.19,2244479921.0,3.661872812093648e-11
11,random,2,4,0.3787952981154423,91,0.427273795743069,0.5251617932963896,MSE,79.91,2212971328.0,3.610982166326558e-11
12,random,2,4,0.4637043519678264,66,0.4200894990252694,0.5170283779468476,MSE,77.3,1961759231.0,3.940340831764385e-11
13,random,2,4,0.8844548296160952,90,0.4165725799881869,0.513532775920031,MSE,80.34,2098566326.0,3.82832789245852e-11
14,random,2,4,0.8260393085051716,71,0.4150571130289678,0.5126912537781565,MSE,79.86,2088496340.0,3.8238036845207016e-11
15,bayes,2,5,0.4201204876938305,133,0.4110889517904806,0.5109248705599381,MSE,85.3,2380756822.0,3.5828942801618066e-11
16,bayes,2,4,0.5644380403551342,77,0.4186003494191922,0.521151146255239,MSE,76.18,1878720345.0,4.0548876900569255e-11
17,bayes,2,4,0.6069191025382699,93,0.4195273803920271,0.5215316609045704,MSE,78.26,2040705541.0,3.834948179816796e-11
18,bayes,2,3,0.3622107783917476,132,0.4446685754618212,0.5352119638588106,MSE,78.62,2195137612.0,3.581552225710759e-11
19,bayes,2,5,0.320156187008486,74,0.4176132304854961,0.5217165545910282,MSE,77.15,2020057727.0,3.819197786717508e-11
20,random,3,4,0.964453431538336,115,0.4141261969228297,0.5109671615086322,MSE,93.41,2580781008.0,3.619446970139824e-11
