,Tuner,N_iter,Colsample By Tree,Max Depth,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target,Energy (J),Runtime (ms),Power (W)
0,random,4,0.5107131882359732,5,113,0.9004424778761062,0.7448471381503333,0.6618220489188231,0.6914441747572816,0.9004424778761062,f1,67.51,1471984348.0,4.586325941014694e-11
1,bayes,4,0.686245943300492,4,138,0.9026548672566372,0.753505478507394,0.6675444371296906,0.6983009708737864,0.9026548672566372,f1,80.46,1722564237.0,4.670943368714556e-11
2,random,5,0.5107131882359732,5,113,0.9004424778761062,0.7448471381503333,0.6618220489188231,0.6914441747572816,0.9004424778761062,f1,79.53,1724947676.0,4.610574634033131e-11
3,bayes,5,0.686245943300492,4,138,0.9026548672566372,0.753505478507394,0.6675444371296906,0.6983009708737864,0.9026548672566372,f1,88.09,1868911577.0,4.7134386176473454e-11
4,random,6,0.5107131882359732,5,113,0.9004424778761062,0.7448471381503333,0.6618220489188231,0.6914441747572816,0.9004424778761062,f1,88.53,2084064735.0,4.247948660769408e-11
5,bayes,6,0.686245943300492,4,138,0.9026548672566372,0.753505478507394,0.6675444371296906,0.6983009708737864,0.9026548672566372,f1,99.48,2127654249.0,4.675571702815705e-11
6,random,7,0.5764481258255985,3,103,0.9037610619469026,0.7593320629826497,0.6636830911024459,0.696582268225781,0.9037610619469026,f1,107.56,2245371031.0,4.790299621532794e-11
7,bayes,7,0.686245943300492,4,138,0.9026548672566372,0.753505478507394,0.6675444371296906,0.6983009708737864,0.9026548672566372,f1,106.82,2510545172.0,4.254852738415495e-11
8,random,8,0.5764481258255985,3,103,0.9037610619469026,0.7593320629826497,0.6636830911024459,0.696582268225781,0.9037610619469026,f1,117.02,2413016761.0,4.849531171573988e-11
9,bayes,8,0.686245943300492,4,138,0.9026548672566372,0.753505478507394,0.6675444371296906,0.6983009708737864,0.9026548672566372,f1,120.38,2752218182.0,4.3739264854547784e-11
10,random,9,0.5764481258255985,3,103,0.9037610619469026,0.7593320629826497,0.6636830911024459,0.696582268225781,0.9037610619469026,f1,128.32,2643082079.0,4.85493814284229e-11
11,bayes,9,0.686245943300492,4,138,0.9026548672566372,0.753505478507394,0.6675444371296906,0.6983009708737864,0.9026548672566372,f1,136.49,2845940738.0,4.795953695645788e-11
12,random,10,0.5764481258255985,3,103,0.9037610619469026,0.7593320629826497,0.6636830911024459,0.696582268225781,0.9037610619469026,f1,151.98,3062511445.0,4.962593698976364e-11
13,bayes,10,0.3870261135372618,3,85,0.8960176991150443,0.7275620163448326,0.6593406593406593,0.6848258263604534,0.8960176991150443,f1,163.76,3432863239.0,4.7703618990572896e-11
14,random,11,0.5764481258255985,3,103,0.9037610619469026,0.7593320629826497,0.6636830911024459,0.696582268225781,0.9037610619469026,f1,173.7,3446877674.0,5.039343325416775e-11
15,bayes,11,0.3870261135372618,3,85,0.8960176991150443,0.7275620163448326,0.6593406593406593,0.6848258263604534,0.8960176991150443,f1,203.43,4223140058.0,4.8170318105987857e-11
16,random,12,0.5764481258255985,3,103,0.9037610619469026,0.7593320629826497,0.6636830911024459,0.696582268225781,0.9037610619469026,f1,185.58,3652289270.0,5.081196649026653e-11
17,bayes,12,0.3870261135372618,3,85,0.8960176991150443,0.7275620163448326,0.6593406593406593,0.6848258263604534,0.8960176991150443,f1,249.24,5271234467.0,4.7283041868150695e-11
18,random,13,0.5764481258255985,3,103,0.9037610619469026,0.7593320629826497,0.6636830911024459,0.696582268225781,0.9037610619469026,f1,196.4,3865549640.0,5.080778111544313e-11
19,bayes,13,0.3870261135372618,3,85,0.8960176991150443,0.7275620163448326,0.6593406593406593,0.6848258263604534,0.8960176991150443,f1,273.96,6140747893.0,4.4613458291016015e-11
20,random,14,0.5764481258255985,3,103,0.9037610619469026,0.7593320629826497,0.6636830911024459,0.696582268225781,0.9037610619469026,f1,213.89,4252222433.0,5.030075528036235e-11
21,bayes,14,0.3870261135372618,3,85,0.8960176991150443,0.7275620163448326,0.6593406593406593,0.6848258263604534,0.8960176991150443,f1,328.06,7060570421.0,4.646366800963602e-11
22,random,15,0.2901757346519618,5,142,0.8993362831858407,0.7399743284129459,0.6656833949460678,0.6931993212374364,0.8993362831858407,f1,231.22,4563132893.0,5.067132722667343e-11
23,bayes,15,0.8,5,77,0.9103982300884956,0.7786600711620237,0.7032587228439763,0.7328049568139772,0.9103982300884956,f1,372.44,8008466913.0,4.6505779950894827e-11
24,random,16,0.2901757346519618,5,142,0.8993362831858407,0.7399743284129459,0.6656833949460678,0.6931993212374364,0.8993362831858407,f1,234.05,5034125383.0,4.649268387123921e-11
25,bayes,16,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,405.99,8923656044.0,4.549592655725178e-11
26,random,17,0.2901757346519618,5,142,0.8993362831858407,0.7399743284129459,0.6656833949460678,0.6931993212374364,0.8993362831858407,f1,259.14,5134291108.0,5.0472401067446444e-11
27,bayes,17,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,448.83,9876524889.0,4.5444121798334687e-11
28,random,18,0.2901757346519618,5,142,0.8993362831858407,0.7399743284129459,0.6656833949460678,0.6931993212374364,0.8993362831858407,f1,270.78,5406128593.0,5.008759879493306e-11
29,bayes,18,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,498.32,10885984733.0,4.577629054442658e-11
30,random,19,0.5605099090066805,4,55,0.8971238938053098,0.7319390156155806,0.6509976198916291,0.6793482613819697,0.8971238938053098,f1,278.05,5505404100.0,5.050492115556059e-11
31,bayes,19,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,549.65,11961110081.0,4.595309267098116e-11
32,random,20,0.7402633017204372,4,117,0.9026548672566372,0.7520792652057569,0.6765078239732618,0.7049433268055308,0.9026548672566372,f1,297.53,5906015886.0,5.037744661427075e-11
33,bayes,20,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,582.7,13053225252.0,4.464030833381347e-11
34,random,21,0.7402633017204372,4,117,0.9026548672566372,0.7520792652057569,0.6765078239732618,0.7049433268055308,0.9026548672566372,f1,309.76,6147895293.0,5.0384722777027945e-11
35,bayes,21,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,628.95,13820909924.0,4.550713400626603e-11
36,random,22,0.7402633017204372,4,117,0.9026548672566372,0.7520792652057569,0.6765078239732618,0.7049433268055308,0.9026548672566372,f1,323.98,6538626024.0,4.9548635877144945e-11
37,bayes,22,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,650.81,14606434373.0,4.455639092885136e-11
38,random,23,0.7402633017204372,4,117,0.9026548672566372,0.7520792652057569,0.6765078239732618,0.7049433268055308,0.9026548672566372,f1,342.03,6797323373.0,5.031833579649823e-11
39,bayes,23,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,701.14,15663472650.0,4.4762742954066443e-11
40,random,24,0.7402633017204372,4,117,0.9026548672566372,0.7520792652057569,0.6765078239732618,0.7049433268055308,0.9026548672566372,f1,305.63,7148579535.0,4.275394831988814e-11
41,bayes,24,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,746.65,16639438949.0,4.487230622910349e-11
42,random,25,0.7402633017204372,4,117,0.9026548672566372,0.7520792652057569,0.6765078239732618,0.7049433268055308,0.9026548672566372,f1,363.72,7289926609.0,4.9893506410744724e-11
43,bayes,25,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,770.89,17793206149.0,4.332496310921036e-11
44,random,26,0.7402633017204372,4,117,0.9026548672566372,0.7520792652057569,0.6765078239732618,0.7049433268055308,0.9026548672566372,f1,326.25,7718897524.0,4.2266398664525137e-11
45,bayes,26,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,792.8,18626755086.0,4.256243217563289e-11
46,random,27,0.7402633017204372,4,117,0.9026548672566372,0.7520792652057569,0.6765078239732618,0.7049433268055308,0.9026548672566372,f1,354.42,8243207176.0,4.299540123556395e-11
47,bayes,27,0.3658363460591757,3,83,0.8971238938053098,0.7321331862400963,0.6465159264698435,0.6756569074137658,0.8971238938053098,f1,871.01,19375104418.0,4.4955112561396465e-11
48,grid,27,0.8,3,100,0.8982300884955752,0.7368549767669357,0.6471362738643844,0.6772831688085925,0.8982300884955752,f1,357.51,7270642484.0,4.917172048917926e-11
