,Tuner,N_iter,Colsample By Tree,Max Depth,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target,Energy (J),Runtime (ms),Power (W)
0,random,4,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,57.74,1503906046.0,3.839335585728472e-11
1,bayes,4,0.686245943300492,4,138,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro,65.17,1763640849.0,3.695196787767304e-11
2,random,5,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,67.24,1736770101.0,3.871554442426459e-11
3,bayes,5,0.686245943300492,4,138,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro,71.03,1892111673.0,3.754006754124602e-11
4,random,6,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,81.84,2089053008.0,3.917564546547878e-11
5,bayes,6,0.686245943300492,4,138,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro,87.28,2225185747.0,3.922369182782654e-11
6,random,7,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,88.09,2201225204.0,4.001862228359257e-11
7,bayes,7,0.686245943300492,4,138,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro,101.28,2550212963.0,3.971433032042038e-11
8,random,8,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,97.89,2451074574.0,3.9937585350677296e-11
9,bayes,8,0.4088416725712785,4,91,0.7881773399014779,0.7434180689819788,0.7773965719196833,0.7581076079410521,0.7881773399014778,f1_macro,110.04,2786708126.0,3.9487450793043695e-11
10,random,9,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,101.05,2668426236.0,3.7868762732401796e-11
11,bayes,9,0.4088416725712785,4,91,0.7881773399014779,0.7434180689819788,0.7773965719196833,0.7581076079410521,0.7881773399014778,f1_macro,115.2,2862062274.0,4.025069651576701e-11
12,random,10,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,121.03,3016010393.0,4.01291720615102e-11
13,bayes,10,0.4088416725712785,4,91,0.7881773399014779,0.7434180689819788,0.7773965719196833,0.7581076079410521,0.7881773399014778,f1_macro,138.54,3563135129.0,3.888148918979715e-11
14,random,11,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,133.39,3292926188.0,4.050804433032739e-11
15,bayes,11,0.4088416725712785,4,91,0.7881773399014779,0.7434180689819788,0.7773965719196833,0.7581076079410521,0.7881773399014778,f1_macro,179.43,4284324490.0,4.188058127221825e-11
16,random,12,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,148.12,3641375708.0,4.0676934180283714e-11
17,bayes,12,0.4088416725712785,4,91,0.7881773399014779,0.7434180689819788,0.7773965719196833,0.7581076079410521,0.7881773399014778,f1_macro,226.75,5357831874.0,4.2321223459875964e-11
18,random,13,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,154.16,3800210649.0,4.0566172309570834e-11
19,bayes,13,0.4088416725712785,4,91,0.7881773399014779,0.7434180689819788,0.7773965719196833,0.7581076079410521,0.7881773399014778,f1_macro,247.63,6109719610.0,4.053050152984025e-11
20,random,14,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,169.19,4181688724.0,4.045973078506931e-11
21,bayes,14,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,322.1,7410968585.0,4.346260496258736e-11
22,random,15,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,172.99,4382348360.0,3.9474269453102084e-11
23,bayes,15,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,360.22,8453839469.0,4.261022477667301e-11
24,random,16,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,199.87,4879243062.0,4.096332104391482e-11
25,bayes,16,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,413.49,9393456058.0,4.4018942277145e-11
26,random,17,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,208.32,5060143173.0,4.1168795600795936e-11
27,bayes,17,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,459.43,10359381021.0,4.4349174827015954e-11
28,random,18,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,214.76,5210326163.0,4.1218148975983785e-11
29,bayes,18,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,483.87,11030300133.0,4.3867346687365064e-11
30,random,19,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,223.65,5435811674.0,4.114380950130025e-11
31,bayes,19,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,543.75,12368211835.0,4.3963509620790706e-11
32,random,20,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,232.61,5638070369.0,4.125702319697316e-11
33,bayes,20,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,583.37,13132041019.0,4.442340677705433e-11
34,random,21,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,245.1,5960635018.0,4.1119779899263074e-11
35,bayes,21,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,631.52,14518436150.0,4.3497797798284214e-11
36,random,22,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,261.82,6358838720.0,4.1174184710254765e-11
37,bayes,22,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,666.86,15637435104.0,4.264510103894338e-11
38,random,23,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,270.62,6563866306.0,4.122874954851343e-11
39,bayes,23,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,716.63,16545824927.0,4.331183263220563e-11
40,random,24,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,275.46,6652849035.0,4.140481747756959e-11
41,bayes,24,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,764.28,17435829922.0,4.383387561240516e-11
42,random,25,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,282.23,6817173328.0,4.13998568645459e-11
43,bayes,25,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,818.12,18748229573.0,4.36371870108847e-11
44,random,26,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,297.51,7183640448.0,4.1414934691341614e-11
45,bayes,26,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,866.5,20168302896.0,4.2963456294176036e-11
46,random,27,0.5107131882359732,5,113,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,314.98,7573123160.0,4.159182326040503e-11
47,bayes,27,0.6224698021354401,5,150,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro,920.99,20967332294.0,4.3924996613114675e-11
48,grid,27,0.5,5,100,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro,294.45,7153044135.0,4.1164292354810134e-11
