,Tuner,N_iter,Colsample By Tree,Max Depth,N Estimators,MSE,MAE,Target,Energy (J),Runtime (ms),Power (W)
0,random,1,0.6457477926095391,5,116,0.5410737335365285,0.5728635210543871,MSE,26.85,760029160.0,3.532759190450009e-11
1,random,1,0.3619111019690388,5,77,0.5473420186689332,0.5798256952315569,MSE,22.47,639941411.0,3.511258939296866e-11
2,random,1,0.3348271707131685,3,55,0.484371673047448,0.5412831772118807,MSE,18.83,568344575.0,3.3131309470139655e-11
3,random,1,0.8913527768050318,5,79,0.5126567632268217,0.5624802634119987,MSE,23.61,658663183.0,3.584533128520104e-11
4,random,1,0.9685836112043448,4,89,0.4931895899213945,0.545119060948491,MSE,21.64,645207678.0,3.353958847340313e-11
5,bayes,1,0.445968963852258,5,125,0.4942684643307339,0.5483891349285841,MSE,26.43,745003089.0,3.547636297116078e-11
6,bayes,1,0.5053410621939575,4,112,0.5576016412982385,0.5914386823773384,MSE,23.49,662925728.0,3.543383369788297e-11
7,bayes,1,0.7146921588456325,3,129,0.5375243455174042,0.5701000764966011,MSE,22.53,653009921.0,3.450177290644869e-11
8,bayes,1,0.6450561928482601,4,80,0.5087096438785569,0.5429878268390894,MSE,21.0,632991086.0,3.317582263709793e-11
9,bayes,1,0.6843370488385498,4,100,0.5166801408779139,0.5487193629145622,MSE,22.98,649545283.0,3.5378595767587156e-11
10,random,2,0.8968943308148163,3,86,0.4813843859862887,0.5405991282314062,MSE,27.32,755055713.0,3.618276046339908e-11
11,random,2,0.6718635314038166,4,111,0.5243092219135543,0.5531443081796169,MSE,29.81,841015186.0,3.54452577031112e-11
12,random,2,0.7452201898359838,4,97,0.517800151665609,0.5670060012489557,MSE,31.13,840304062.0,3.704611391013364e-11
13,random,2,0.5439142228896536,5,130,0.5093129817731482,0.5555386420339345,MSE,33.52,919315615.0,3.6461906502045005e-11
14,random,2,0.3399546611947787,3,65,0.485515194526758,0.5395659886300563,MSE,27.29,778936661.0,3.503494105023258e-11
15,bayes,2,0.5461108317037136,3,101,0.5065506447052721,0.5594931833446026,MSE,25.3,702149941.0,3.6032189882360184e-11
16,bayes,2,0.4393841642715576,4,87,0.5190876510838685,0.568832653388381,MSE,25.42,739262734.0,3.438560992038319e-11
17,bayes,2,0.3315926865863536,3,68,0.4829688727259046,0.5387882854789495,MSE,22.25,657548783.0,3.383779359834965e-11
18,bayes,2,0.4248526827437215,4,85,0.5191300356917805,0.5691281415522098,MSE,26.03,725372754.0,3.588499823912603e-11
19,bayes,2,0.7434221523247408,5,106,0.4907117345296296,0.546838628873229,MSE,32.2,853929717.0,3.770802134995848e-11
20,random,3,0.9054480929109828,5,80,0.5119084525441542,0.5618926338851452,MSE,31.69,852705891.0,3.7164044876992646e-11
21,random,3,0.2843647798137377,5,56,0.5496957993763101,0.5795066747814417,MSE,32.86,875916281.0,3.751500082003842e-11
22,random,3,0.6052842370203987,3,128,0.5193092283343061,0.5702193789184093,MSE,37.12,970372891.0,3.8253335747814083e-11
23,random,3,0.5853010215560408,3,54,0.4847400200152784,0.5370120216161013,MSE,31.9,837757456.0,3.8077846722261815e-11
24,random,3,0.2770713619208323,5,73,0.548899823684047,0.5799823693931103,MSE,36.59,1002280562.0,3.6506744106646664e-11
25,bayes,3,0.3561933412079242,3,71,0.4807214821173817,0.5383779302239418,MSE,30.17,822141069.0,3.6696865218881315e-11
26,bayes,3,0.5769413586785448,4,59,0.4986795180464973,0.5471486408263445,MSE,30.6,832852828.0,3.6741185202531366e-11
27,bayes,3,0.4367100243627948,4,98,0.5189762616246976,0.5678732801228762,MSE,34.05,931113421.0,3.656912169027794e-11
28,bayes,3,0.2264723711643199,3,61,0.4816892288713111,0.5558250099420547,MSE,27.83,765215297.0,3.6368849536995076e-11
29,bayes,3,0.7171889371020901,3,127,0.5365443475902829,0.5686744336038828,MSE,31.54,863902230.0,3.6508760950877505e-11
30,random,4,0.340565146965421,3,65,0.485515194526758,0.5395659886300563,MSE,34.06,911742793.0,3.735702685176038e-11
31,random,4,0.4709350686660447,3,54,0.4584917886545664,0.522846058383584,MSE,41.13,1057736437.0,3.8884923087886406e-11
32,random,4,0.7976771758744208,5,56,0.4892371601928068,0.5411514677107334,MSE,33.49,896894745.0,3.7339944499284586e-11
33,random,4,0.5514055200084284,3,87,0.4977328233336301,0.5525890305638314,MSE,41.38,1051002057.0,3.937194958315862e-11
34,random,4,0.7964821776812234,3,63,0.4812533324717664,0.5433975342661143,MSE,37.17,965995772.0,3.847842928240063e-11
35,bayes,4,0.6952831139387693,3,72,0.5027707023669714,0.5478915419429541,MSE,34.33,923978871.0,3.7154529261957546e-11
36,bayes,4,0.5937552551175458,4,94,0.5238852753939556,0.5615840528160334,MSE,47.04,1240354859.0,3.7924630728600226e-11
37,bayes,4,0.7342313513431045,4,64,0.5006301523076352,0.5512673944234848,MSE,39.01,1036443082.0,3.763834278745275e-11
38,bayes,4,0.3866659265994846,5,50,0.4688854418979856,0.5341092571616173,MSE,34.49,934488481.0,3.690789207277559e-11
