Energy,Metric,Counter,Runtime (ms),UNK1,UNK2,UNK3
118.51,Joules,power/energy-pkg/,3463472416,100.00,,
147.16,Joules,power/energy-pkg/,4051972395,100.00,,
138.69,Joules,power/energy-pkg/,4032078146,100.00,,
161.30,Joules,power/energy-pkg/,4605690773,100.00,,
154.04,Joules,power/energy-pkg/,4408501312,100.00,,
179.99,Joules,power/energy-pkg/,5398460537,100.00,,
175.69,Joules,power/energy-pkg/,5154937357,100.00,,
208.89,Joules,power/energy-pkg/,6098996635,100.00,,
193.55,Joules,power/energy-pkg/,5750919073,100.00,,
222.18,Joules,power/energy-pkg/,6606549621,100.00,,
207.98,Joules,power/energy-pkg/,6044983449,100.00,,
237.66,Joules,power/energy-pkg/,7170359990,100.00,,
234.59,Joules,power/energy-pkg/,6650521832,100.00,,
270.69,Joules,power/energy-pkg/,8039738112,100.00,,
264.16,Joules,power/energy-pkg/,7545610929,100.00,,
308.67,Joules,power/energy-pkg/,8962734570,100.00,,
294.71,Joules,power/energy-pkg/,8301546544,100.00,,
357.50,Joules,power/energy-pkg/,10148886936,100.00,,
315.80,Joules,power/energy-pkg/,8907039731,100.00,,
398.19,Joules,power/energy-pkg/,11145920504,100.00,,
333.74,Joules,power/energy-pkg/,9529362583,100.00,,
455.22,Joules,power/energy-pkg/,12756538278,100.00,,
356.82,Joules,power/energy-pkg/,10495870619,100.00,,
517.30,Joules,power/energy-pkg/,14366156769,100.00,,
367.72,Joules,power/energy-pkg/,10771320736,100.00,,
568.94,Joules,power/energy-pkg/,15621049954,100.00,,
386.26,Joules,power/energy-pkg/,11457809188,100.00,,
612.89,Joules,power/energy-pkg/,16565058067,100.00,,
392.87,Joules,power/energy-pkg/,11554435858,100.00,,
660.15,Joules,power/energy-pkg/,17840703388,100.00,,
403.09,Joules,power/energy-pkg/,12039123203,100.00,,
685.07,Joules,power/energy-pkg/,18481702455,100.00,,
427.64,Joules,power/energy-pkg/,12713711985,100.00,,
750.26,Joules,power/energy-pkg/,19871193711,100.00,,
452.09,Joules,power/energy-pkg/,13345144787,100.00,,
799.97,Joules,power/energy-pkg/,21482833972,100.00,,
467.86,Joules,power/energy-pkg/,13844464275,100.00,,
850.99,Joules,power/energy-pkg/,22668066163,100.00,,
496.58,Joules,power/energy-pkg/,14833089127,100.00,,
891.92,Joules,power/energy-pkg/,24075982774,100.00,,
523.69,Joules,power/energy-pkg/,15344605673,100.00,,
955.48,Joules,power/energy-pkg/,25662806768,100.00,,
534.95,Joules,power/energy-pkg/,15891036198,100.00,,
1027.49,Joules,power/energy-pkg/,26992890874,100.00,,
543.82,Joules,power/energy-pkg/,16194807282,100.00,,
1068.40,Joules,power/energy-pkg/,27964757387,100.00,,
565.18,Joules,power/energy-pkg/,16601448002,100.00,,
1115.73,Joules,power/energy-pkg/,29463330375,100.00,,
542.16,Joules,power/energy-pkg/,17386292577,100.00,,
