Energy,Metric,Counter,Runtime (ms),UNK1,UNK2,UNK3
95.65,Joules,power/energy-pkg/,3006616120,100.00,,
102.68,Joules,power/energy-pkg/,3355192057,100.00,,
104.40,Joules,power/energy-pkg/,3414162388,100.00,,
113.44,Joules,power/energy-pkg/,3842007232,100.00,,
113.75,Joules,power/energy-pkg/,3760656272,100.00,,
126.10,Joules,power/energy-pkg/,4349745725,100.00,,
122.82,Joules,power/energy-pkg/,4354047911,100.00,,
137.32,Joules,power/energy-pkg/,4702597458,100.00,,
134.68,Joules,power/energy-pkg/,4870589609,100.00,,
141.69,Joules,power/energy-pkg/,5330482137,100.00,,
140.15,Joules,power/energy-pkg/,5091114179,100.00,,
153.49,Joules,power/energy-pkg/,5675864667,100.00,,
153.40,Joules,power/energy-pkg/,5671666476,100.00,,
193.77,Joules,power/energy-pkg/,6532667232,100.00,,
167.79,Joules,power/energy-pkg/,6220190786,100.00,,
237.83,Joules,power/energy-pkg/,7468835196,100.00,,
175.78,Joules,power/energy-pkg/,6758428290,100.00,,
293.76,Joules,power/energy-pkg/,8885203421,100.00,,
186.19,Joules,power/energy-pkg/,7183640669,100.00,,
320.33,Joules,power/energy-pkg/,9361937024,100.00,,
196.62,Joules,power/energy-pkg/,7717941121,100.00,,
379.12,Joules,power/energy-pkg/,11027490957,100.00,,
216.25,Joules,power/energy-pkg/,8352638483,100.00,,
428.21,Joules,power/energy-pkg/,12172960057,100.00,,
213.19,Joules,power/energy-pkg/,8593381109,100.00,,
464.23,Joules,power/energy-pkg/,12946621475,100.00,,
222.31,Joules,power/energy-pkg/,9033683329,100.00,,
521.45,Joules,power/energy-pkg/,14408364503,100.00,,
228.27,Joules,power/energy-pkg/,9251060799,100.00,,
570.06,Joules,power/energy-pkg/,15683770936,100.00,,
233.60,Joules,power/energy-pkg/,9459662956,100.00,,
614.83,Joules,power/energy-pkg/,16906969148,100.00,,
244.93,Joules,power/energy-pkg/,9896061648,100.00,,
669.64,Joules,power/energy-pkg/,18194457604,100.00,,
250.93,Joules,power/energy-pkg/,10503239976,100.00,,
719.34,Joules,power/energy-pkg/,19172028862,100.00,,
266.35,Joules,power/energy-pkg/,10845634954,100.00,,
758.87,Joules,power/energy-pkg/,20167918124,100.00,,
274.08,Joules,power/energy-pkg/,11416365828,100.00,,
800.95,Joules,power/energy-pkg/,21374869154,100.00,,
288.43,Joules,power/energy-pkg/,11941378698,100.00,,
855.26,Joules,power/energy-pkg/,22713360372,100.00,,
296.11,Joules,power/energy-pkg/,12269918289,100.00,,
891.56,Joules,power/energy-pkg/,23535245123,100.00,,
302.74,Joules,power/energy-pkg/,12473291373,100.00,,
949.05,Joules,power/energy-pkg/,25356978416,100.00,,
313.49,Joules,power/energy-pkg/,12945263579,100.00,,
1000.20,Joules,power/energy-pkg/,26220786265,100.00,,
315.15,Joules,power/energy-pkg/,13330927090,100.00,,
