Energy,Metric,Counter,Runtime (ms),UNK1,UNK2,UNK3
76.13,Joules,power/energy-pkg/,1885224273,100.00,,
72.28,Joules,power/energy-pkg/,1654883109,100.00,,
70.57,Joules,power/energy-pkg/,1608239310,100.00,,
78.03,Joules,power/energy-pkg/,1915528437,100.00,,
73.04,Joules,power/energy-pkg/,1677236211,100.00,,
68.41,Joules,power/energy-pkg/,1570924768,100.00,,
72.13,Joules,power/energy-pkg/,1682534688,100.00,,
73.83,Joules,power/energy-pkg/,1900257357,100.00,,
71.33,Joules,power/energy-pkg/,1664513670,100.00,,
71.55,Joules,power/energy-pkg/,1744441892,100.00,,
82.19,Joules,power/energy-pkg/,2244479921,100.00,,
79.91,Joules,power/energy-pkg/,2212971328,100.00,,
77.30,Joules,power/energy-pkg/,1961759231,100.00,,
80.34,Joules,power/energy-pkg/,2098566326,100.00,,
79.86,Joules,power/energy-pkg/,2088496340,100.00,,
85.30,Joules,power/energy-pkg/,2380756822,100.00,,
76.18,Joules,power/energy-pkg/,1878720345,100.00,,
78.26,Joules,power/energy-pkg/,2040705541,100.00,,
78.62,Joules,power/energy-pkg/,2195137612,100.00,,
77.15,Joules,power/energy-pkg/,2020057727,100.00,,
93.41,Joules,power/energy-pkg/,2580781008,100.00,,
90.84,Joules,power/energy-pkg/,2615304065,100.00,,
88.86,Joules,power/energy-pkg/,2435717278,100.00,,
96.47,Joules,power/energy-pkg/,2829594417,100.00,,
95.58,Joules,power/energy-pkg/,2678608570,100.00,,
92.98,Joules,power/energy-pkg/,2695180560,100.00,,
88.82,Joules,power/energy-pkg/,2503360821,100.00,,
79.35,Joules,power/energy-pkg/,2078012518,100.00,,
90.60,Joules,power/energy-pkg/,2640827864,100.00,,
90.54,Joules,power/energy-pkg/,2550323546,100.00,,
102.62,Joules,power/energy-pkg/,3137908476,100.00,,
98.37,Joules,power/energy-pkg/,3106720344,100.00,,
99.21,Joules,power/energy-pkg/,2724569618,100.00,,
95.88,Joules,power/energy-pkg/,2941573579,100.00,,
104.28,Joules,power/energy-pkg/,3132280691,100.00,,
95.62,Joules,power/energy-pkg/,2902801112,100.00,,
90.82,Joules,power/energy-pkg/,2697575050,100.00,,
95.11,Joules,power/energy-pkg/,2873155524,100.00,,
93.83,Joules,power/energy-pkg/,2912962220,100.00,,
