Energy,Metric,Counter,Runtime (ms),UNK1,UNK2,UNK3
26.97,Joules,power/energy-pkg/,714137092,100.00,,
31.62,Joules,power/energy-pkg/,839478625,100.00,,
21.81,Joules,power/energy-pkg/,701501074,100.00,,
24.47,Joules,power/energy-pkg/,667633055,100.00,,
26.79,Joules,power/energy-pkg/,701244282,100.00,,
38.30,Joules,power/energy-pkg/,938691473,100.00,,
31.71,Joules,power/energy-pkg/,787792659,100.00,,
29.64,Joules,power/energy-pkg/,830245107,100.00,,
26.42,Joules,power/energy-pkg/,694976868,100.00,,
47.15,Joules,power/energy-pkg/,1056387978,100.00,,
47.10,Joules,power/energy-pkg/,1062995640,100.00,,
39.23,Joules,power/energy-pkg/,934454647,100.00,,
47.12,Joules,power/energy-pkg/,1047897655,100.00,,
49.46,Joules,power/energy-pkg/,1073365759,100.00,,
28.34,Joules,power/energy-pkg/,737068579,100.00,,
59.99,Joules,power/energy-pkg/,1283903894,100.00,,
39.81,Joules,power/energy-pkg/,952687833,100.00,,
50.38,Joules,power/energy-pkg/,1197601537,100.00,,
52.24,Joules,power/energy-pkg/,1180813612,100.00,,
39.98,Joules,power/energy-pkg/,949122877,100.00,,
49.33,Joules,power/energy-pkg/,1106126530,100.00,,
54.72,Joules,power/energy-pkg/,1183158070,100.00,,
55.77,Joules,power/energy-pkg/,1240186874,100.00,,
48.47,Joules,power/energy-pkg/,1101268619,100.00,,
55.58,Joules,power/energy-pkg/,1218354469,100.00,,
52.94,Joules,power/energy-pkg/,1215937817,100.00,,
50.35,Joules,power/energy-pkg/,1140525474,100.00,,
49.20,Joules,power/energy-pkg/,1117416164,100.00,,
43.73,Joules,power/energy-pkg/,1041195165,100.00,,
59.15,Joules,power/energy-pkg/,1302060997,100.00,,
87.48,Joules,power/energy-pkg/,1760229160,100.00,,
78.16,Joules,power/energy-pkg/,1603509841,100.00,,
52.18,Joules,power/energy-pkg/,1166139021,100.00,,
50.45,Joules,power/energy-pkg/,1154630017,100.00,,
63.84,Joules,power/energy-pkg/,1378126504,100.00,,
71.85,Joules,power/energy-pkg/,1526032625,100.00,,
75.14,Joules,power/energy-pkg/,1616717862,100.00,,
59.45,Joules,power/energy-pkg/,1313615606,100.00,,
47.60,Joules,power/energy-pkg/,1119841162,100.00,,
76.91,Joules,power/energy-pkg/,1585396519,100.00,,
65.17,Joules,power/energy-pkg/,1423783612,100.00,,
74.43,Joules,power/energy-pkg/,1583511674,100.00,,
84.66,Joules,power/energy-pkg/,1760070463,100.00,,
93.65,Joules,power/energy-pkg/,1881656953,100.00,,
85.39,Joules,power/energy-pkg/,1749833013,100.00,,
90.16,Joules,power/energy-pkg/,1827765742,100.00,,
76.06,Joules,power/energy-pkg/,1616652759,100.00,,
58.28,Joules,power/energy-pkg/,1335190980,100.00,,
69.96,Joules,power/energy-pkg/,1491458603,100.00,,
73.72,Joules,power/energy-pkg/,1603008661,100.00,,
96.38,Joules,power/energy-pkg/,1978184435,100.00,,
101.52,Joules,power/energy-pkg/,1978410900,100.00,,
108.18,Joules,power/energy-pkg/,2147786547,100.00,,
90.52,Joules,power/energy-pkg/,1825558152,100.00,,
84.97,Joules,power/energy-pkg/,1758872536,100.00,,
92.26,Joules,power/energy-pkg/,1917029422,100.00,,
92.15,Joules,power/energy-pkg/,1898475816,100.00,,
55.68,Joules,power/energy-pkg/,1271912194,100.00,,
88.06,Joules,power/energy-pkg/,1871758138,100.00,,
87.34,Joules,power/energy-pkg/,1835944160,100.00,,
96.54,Joules,power/energy-pkg/,1962640263,100.00,,
112.66,Joules,power/energy-pkg/,2219719534,100.00,,
99.15,Joules,power/energy-pkg/,2013345048,100.00,,
127.33,Joules,power/energy-pkg/,2610184072,100.00,,
113.33,Joules,power/energy-pkg/,2199328972,100.00,,
92.28,Joules,power/energy-pkg/,1897778668,100.00,,
100.26,Joules,power/energy-pkg/,2089177327,100.00,,
101.82,Joules,power/energy-pkg/,2084621844,100.00,,
97.80,Joules,power/energy-pkg/,2020702927,100.00,,
110.14,Joules,power/energy-pkg/,2215871717,100.00,,
112.80,Joules,power/energy-pkg/,2213230825,100.00,,
124.66,Joules,power/energy-pkg/,2391188416,100.00,,
127.55,Joules,power/energy-pkg/,2456917218,100.00,,
128.81,Joules,power/energy-pkg/,2516484614,100.00,,
112.55,Joules,power/energy-pkg/,2231232125,100.00,,
123.39,Joules,power/energy-pkg/,2422687151,100.00,,
106.32,Joules,power/energy-pkg/,2172556391,100.00,,
103.92,Joules,power/energy-pkg/,2154829636,100.00,,
100.75,Joules,power/energy-pkg/,2076650815,100.00,,
126.25,Joules,power/energy-pkg/,2513237333,100.00,,
136.03,Joules,power/energy-pkg/,2662577874,100.00,,
138.35,Joules,power/energy-pkg/,2677848594,100.00,,
134.55,Joules,power/energy-pkg/,2625852137,100.00,,
123.70,Joules,power/energy-pkg/,2425241571,100.00,,
111.95,Joules,power/energy-pkg/,2238721651,100.00,,
142.00,Joules,power/energy-pkg/,2805252465,100.00,,
112.11,Joules,power/energy-pkg/,2297512551,100.00,,
138.17,Joules,power/energy-pkg/,2736191043,100.00,,
101.29,Joules,power/energy-pkg/,2090405461,100.00,,
121.88,Joules,power/energy-pkg/,2440204243,100.00,,
151.79,Joules,power/energy-pkg/,2917640083,100.00,,
167.30,Joules,power/energy-pkg/,3189543455,100.00,,
134.76,Joules,power/energy-pkg/,2699580732,100.00,,
142.89,Joules,power/energy-pkg/,2773275233,100.00,,
141.03,Joules,power/energy-pkg/,2773001780,100.00,,
153.85,Joules,power/energy-pkg/,3088307321,100.00,,
180.62,Joules,power/energy-pkg/,3525644548,100.00,,
172.96,Joules,power/energy-pkg/,3446258462,100.00,,
141.71,Joules,power/energy-pkg/,2883874977,100.00,,
164.72,Joules,power/energy-pkg/,3305727894,100.00,,
139.73,Joules,power/energy-pkg/,2717151134,100.00,,
150.34,Joules,power/energy-pkg/,2933047759,100.00,,
169.15,Joules,power/energy-pkg/,3482948724,100.00,,
162.06,Joules,power/energy-pkg/,3131132688,100.00,,
157.77,Joules,power/energy-pkg/,3025728417,100.00,,
184.04,Joules,power/energy-pkg/,3713065547,100.00,,
196.72,Joules,power/energy-pkg/,4041878470,100.00,,
214.50,Joules,power/energy-pkg/,4441266345,100.00,,
199.99,Joules,power/energy-pkg/,4177805025,100.00,,
173.12,Joules,power/energy-pkg/,3600335737,100.00,,
198.49,Joules,power/energy-pkg/,3751063570,100.00,,
186.17,Joules,power/energy-pkg/,3539775469,100.00,,
170.61,Joules,power/energy-pkg/,3265927710,100.00,,
165.75,Joules,power/energy-pkg/,3195996868,100.00,,
181.77,Joules,power/energy-pkg/,3475935931,100.00,,
227.85,Joules,power/energy-pkg/,4480155078,100.00,,
238.78,Joules,power/energy-pkg/,4785053833,100.00,,
230.77,Joules,power/energy-pkg/,4912770009,100.00,,
231.13,Joules,power/energy-pkg/,4625343683,100.00,,
200.30,Joules,power/energy-pkg/,4437542932,100.00,,
183.57,Joules,power/energy-pkg/,3582260558,100.00,,
170.22,Joules,power/energy-pkg/,3261936234,100.00,,
168.15,Joules,power/energy-pkg/,3282360679,100.00,,
209.73,Joules,power/energy-pkg/,3991527750,100.00,,
190.27,Joules,power/energy-pkg/,3588890573,100.00,,
250.04,Joules,power/energy-pkg/,5073762934,100.00,,
299.66,Joules,power/energy-pkg/,6126750855,100.00,,
286.26,Joules,power/energy-pkg/,5745206526,100.00,,
276.59,Joules,power/energy-pkg/,5589805889,100.00,,
290.37,Joules,power/energy-pkg/,5734757719,100.00,,
190.65,Joules,power/energy-pkg/,3687797368,100.00,,
202.49,Joules,power/energy-pkg/,3866803886,100.00,,
176.90,Joules,power/energy-pkg/,3392916081,100.00,,
205.34,Joules,power/energy-pkg/,3967827261,100.00,,
198.64,Joules,power/energy-pkg/,3780576872,100.00,,
322.07,Joules,power/energy-pkg/,6768734827,100.00,,
306.44,Joules,power/energy-pkg/,6553114881,100.00,,
313.79,Joules,power/energy-pkg/,6478164415,100.00,,
325.34,Joules,power/energy-pkg/,6731084215,100.00,,
332.90,Joules,power/energy-pkg/,6700788427,100.00,,
177.20,Joules,power/energy-pkg/,3493545197,100.00,,
216.22,Joules,power/energy-pkg/,4155569463,100.00,,
148.88,Joules,power/energy-pkg/,3357762562,100.00,,
175.06,Joules,power/energy-pkg/,3431675222,100.00,,
191.39,Joules,power/energy-pkg/,3696079610,100.00,,
349.44,Joules,power/energy-pkg/,7103455340,100.00,,
