Energy,Metric,Counter,Runtime (ms),UNK1,UNK2,UNK3
57.74,Joules,power/energy-pkg/,1503906046,100.00,,
65.17,Joules,power/energy-pkg/,1763640849,100.00,,
67.24,Joules,power/energy-pkg/,1736770101,100.00,,
71.03,Joules,power/energy-pkg/,1892111673,100.00,,
81.84,Joules,power/energy-pkg/,2089053008,100.00,,
87.28,Joules,power/energy-pkg/,2225185747,100.00,,
88.09,Joules,power/energy-pkg/,2201225204,100.00,,
101.28,Joules,power/energy-pkg/,2550212963,100.00,,
97.89,Joules,power/energy-pkg/,2451074574,100.00,,
110.04,Joules,power/energy-pkg/,2786708126,100.00,,
101.05,Joules,power/energy-pkg/,2668426236,100.00,,
115.20,Joules,power/energy-pkg/,2862062274,100.00,,
121.03,Joules,power/energy-pkg/,3016010393,100.00,,
138.54,Joules,power/energy-pkg/,3563135129,100.00,,
133.39,Joules,power/energy-pkg/,3292926188,100.00,,
179.43,Joules,power/energy-pkg/,4284324490,100.00,,
148.12,Joules,power/energy-pkg/,3641375708,100.00,,
226.75,Joules,power/energy-pkg/,5357831874,100.00,,
154.16,Joules,power/energy-pkg/,3800210649,100.00,,
247.63,Joules,power/energy-pkg/,6109719610,100.00,,
169.19,Joules,power/energy-pkg/,4181688724,100.00,,
322.10,Joules,power/energy-pkg/,7410968585,100.00,,
172.99,Joules,power/energy-pkg/,4382348360,100.00,,
360.22,Joules,power/energy-pkg/,8453839469,100.00,,
199.87,Joules,power/energy-pkg/,4879243062,100.00,,
413.49,Joules,power/energy-pkg/,9393456058,100.00,,
208.32,Joules,power/energy-pkg/,5060143173,100.00,,
459.43,Joules,power/energy-pkg/,10359381021,100.00,,
214.76,Joules,power/energy-pkg/,5210326163,100.00,,
483.87,Joules,power/energy-pkg/,11030300133,100.00,,
223.65,Joules,power/energy-pkg/,5435811674,100.00,,
543.75,Joules,power/energy-pkg/,12368211835,100.00,,
232.61,Joules,power/energy-pkg/,5638070369,100.00,,
583.37,Joules,power/energy-pkg/,13132041019,100.00,,
245.10,Joules,power/energy-pkg/,5960635018,100.00,,
631.52,Joules,power/energy-pkg/,14518436150,100.00,,
261.82,Joules,power/energy-pkg/,6358838720,100.00,,
666.86,Joules,power/energy-pkg/,15637435104,100.00,,
270.62,Joules,power/energy-pkg/,6563866306,100.00,,
716.63,Joules,power/energy-pkg/,16545824927,100.00,,
275.46,Joules,power/energy-pkg/,6652849035,100.00,,
764.28,Joules,power/energy-pkg/,17435829922,100.00,,
282.23,Joules,power/energy-pkg/,6817173328,100.00,,
818.12,Joules,power/energy-pkg/,18748229573,100.00,,
297.51,Joules,power/energy-pkg/,7183640448,100.00,,
866.50,Joules,power/energy-pkg/,20168302896,100.00,,
314.98,Joules,power/energy-pkg/,7573123160,100.00,,
920.99,Joules,power/energy-pkg/,20967332294,100.00,,
294.45,Joules,power/energy-pkg/,7153044135,100.00,,
