Tuner,N_iter,Max Depth,Max Features,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target
random,4,3,0.2989845541137979,97,0.5566502463054187,0.6183851609383525,0.7024826897885347,0.5761787505699955,0.5566502463054187,f1_macro
bayes,4,4,0.28317799131900695,66,0.5911330049261084,0.6144700460829493,0.7007499358881057,0.6029942351110233,0.5911330049261084,f1_macro
random,5,4,0.704725128844631,87,0.5714285714285714,0.6391666666666667,0.7106127710893477,0.5910277902261172,0.5714285714285714,f1_macro
bayes,5,4,0.28317799131900695,66,0.5911330049261084,0.6144700460829493,0.7007499358881057,0.6029942351110233,0.5911330049261084,f1_macro
random,6,4,0.704725128844631,87,0.5714285714285714,0.6391666666666667,0.7106127710893477,0.5910277902261172,0.5714285714285714,f1_macro
bayes,6,4,0.28317799131900695,66,0.5911330049261084,0.6144700460829493,0.7007499358881057,0.6029942351110233,0.5911330049261084,f1_macro
random,7,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro
bayes,7,4,0.28317799131900695,66,0.5911330049261084,0.6144700460829493,0.7007499358881057,0.6029942351110233,0.5911330049261084,f1_macro
random,8,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro
bayes,8,4,0.47085924982583227,91,0.645320197044335,0.6335983835983836,0.7195087296141504,0.6425839793281654,0.645320197044335,f1_macro
random,9,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro
bayes,9,4,0.47085924982583227,91,0.645320197044335,0.6335983835983836,0.7195087296141504,0.6425839793281654,0.645320197044335,f1_macro
random,10,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro
bayes,10,4,0.47085924982583227,91,0.645320197044335,0.6335983835983836,0.7195087296141504,0.6425839793281654,0.645320197044335,f1_macro
random,11,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro
bayes,11,5,0.2,50,0.7192118226600985,0.6846259437199725,0.7601591361182155,0.7066526331759307,0.7192118226600985,f1_macro
random,12,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro
bayes,12,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,13,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro
bayes,13,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,14,4,0.6641630081567773,125,0.5812807881773399,0.6183068570663913,0.7024237761559201,0.5941562472288728,0.5812807881773399,f1_macro
bayes,14,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,15,4,0.26746715820490075,142,0.5812807881773399,0.6130387039730755,0.7024237761559201,0.5960186238777191,0.5812807881773399,f1_macro
bayes,15,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,16,4,0.26746715820490075,142,0.5812807881773399,0.6130387039730755,0.7024237761559201,0.5960186238777191,0.5812807881773399,f1_macro
bayes,16,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,17,4,0.26746715820490075,142,0.5812807881773399,0.6130387039730755,0.7024237761559201,0.5960186238777191,0.5812807881773399,f1_macro
bayes,17,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,18,5,0.25460570394849946,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro
bayes,18,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,19,5,0.25460570394849946,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro
bayes,19,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,20,5,0.25460570394849946,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro
bayes,20,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,21,5,0.25460570394849946,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro
bayes,21,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,22,5,0.25460570394849946,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro
bayes,22,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,23,5,0.25460570394849946,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro
bayes,23,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,24,5,0.25460570394849946,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro
bayes,24,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,25,5,0.25460570394849946,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro
bayes,25,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
random,26,5,0.25460570394849946,58,0.6995073891625616,0.6658615136876006,0.742225133248775,0.6866707950203036,0.6995073891625616,f1_macro
bayes,26,5,0.2,150,0.6551724137931034,0.6376059794734493,0.717834889346336,0.6519196062455935,0.6551724137931034,f1_macro
