Tuner,N_iter,Colsample By Tree,Max Depth,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target
random,1,0.9040853275876841,4,56,0.8982300884955752,0.7364928909952606,0.65161796728617,0.6809819716148829,0.8982300884955752,f1
random,1,0.7669585937588053,4,92,0.8926991150442478,0.7158986375075935,0.6574796171570365,0.6800256890241456,0.8926991150442478,f1
random,1,0.34820219238773775,4,64,0.8993362831858407,0.7417407154249259,0.6477566212589254,0.6789259020744297,0.8993362831858407,f1
random,1,0.5039174625463141,3,67,0.9081858407079646,0.7774646474776853,0.6751278675241809,0.7105325087671244,0.9081858407079646,f1
random,1,0.7522028370475227,4,56,0.8938053097345132,0.7186413902053712,0.6401731908644351,0.6671116225546606,0.8938053097345132,f1
bayes,1,0.3826041652818899,5,146,0.8982300884955752,0.7364928909952606,0.65161796728617,0.6809819716148829,0.8982300884955752,f1
bayes,1,0.513650378368881,5,84,0.8982300884955752,0.7364928909952606,0.65161796728617,0.6809819716148829,0.8982300884955752,f1
bayes,1,0.5011205685192637,5,93,0.8982300884955752,0.7361887977932725,0.6560996607079557,0.6845873786407767,0.8982300884955752,f1
bayes,1,0.5863780663875187,4,61,0.9015486725663717,0.7502657707351319,0.6579607028915785,0.6896071479551092,0.9015486725663717,f1
bayes,1,0.7377846355396145,5,145,0.9048672566371682,0.7586844809866393,0.6911935990277005,0.7178281068524971,0.9048672566371682,f1
random,2,0.751866319000021,4,94,0.8949115044247787,0.7235596212485957,0.6587203119461184,0.6832106826020399,0.8949115044247787,f1
random,2,0.6063720797675076,5,89,0.9004424778761062,0.7448471381503333,0.6618220489188231,0.6914441747572816,0.9004424778761062,f1
random,2,0.4978952913672389,3,101,0.9081858407079646,0.7719199700422619,0.6930546412113232,0.7232261753259928,0.9081858407079646,f1
random,2,0.8746048011895753,4,112,0.8960176991150443,0.7277149708804385,0.6683040461842304,0.6915795586527294,0.8960176991150443,f1
random,2,0.5219348975088238,3,54,0.9026548672566371,0.7543443917851501,0.663062743707905,0.6948523206751056,0.9026548672566371,f1
bayes,2,0.6748747446509089,5,132,0.8971238938053098,0.7317913292943019,0.6554793133134147,0.6829469730396316,0.8971238938053098,f1
bayes,2,0.5457501887287677,5,76,0.8993362831858407,0.7417407154249259,0.6477566212589254,0.6789259020744297,0.8993362831858407,f1
bayes,2,0.6562075143101195,5,122,0.8982300884955752,0.7357344326318074,0.6650630475515268,0.6915316598421459,0.8982300884955752,f1
bayes,2,0.6330646868266165,4,137,0.9026548672566371,0.7520792652057569,0.6765078239732618,0.7049433268055308,0.9026548672566371,f1
bayes,2,0.5390522068663581,3,102,0.9059734513274337,0.764839094159714,0.6828505595786702,0.7134279374195833,0.9059734513274338,f1
random,3,0.6973289053688847,5,73,0.9015486725663717,0.7482625836618685,0.6714057831569352,0.699942193298152,0.9015486725663717,f1
random,3,0.7413451479723308,3,85,0.8993362831858407,0.7403223675518562,0.6612017015242821,0.689765317705446,0.8993362831858407,f1
random,3,0.5985426410684103,3,112,0.8915929203539823,0.7117224880382775,0.65237757634071,0.6749776205919904,0.8915929203539823,f1
