Tuner,N_iter,Colsample By Tree,Max Depth,N Estimators,Accuracy,Precision,Recall,F1,Micro F1,Target
random,1,0.9352165369793473,3,101,0.7832512315270936,0.7464740282077743,0.7772440895764458,0.7600579504207325,0.7832512315270936,f1_macro
random,1,0.5185832878327631,5,93,0.8177339901477833,0.7779464890137352,0.8007506289896659,0.7883656310573723,0.8177339901477833,f1_macro
random,1,0.9888154971767495,3,54,0.729064039408867,0.6907337285452684,0.7519701411847878,0.7119200244200243,0.729064039408867,f1_macro
random,1,0.377430955729807,4,148,0.7881773399014779,0.745047233468286,0.7773965719196833,0.7592239369593279,0.7881773399014778,f1_macro
random,1,0.5007225114640705,5,65,0.812807881773399,0.7729044834307991,0.798040601889395,0.7843577620173364,0.812807881773399,f1_macro
bayes,1,0.4433452568603249,4,122,0.7881773399014779,0.7488024408848207,0.7773965719196833,0.7615935262994086,0.7881773399014778,f1_macro
bayes,1,0.6923721541094545,4,74,0.7980295566502463,0.7610313762037899,0.7853741708772586,0.7720970757132286,0.7980295566502463,f1_macro
bayes,1,0.5067041284632652,4,135,0.8177339901477833,0.7823292629300139,0.8007506289896659,0.7909473488342597,0.8177339901477833,f1_macro
bayes,1,0.30524051861134827,3,67,0.6502463054187192,0.6322771878327433,0.7003583335066087,0.6381874503316628,0.6502463054187192,f1_macro
bayes,1,0.23275647777282016,4,91,0.7044334975369458,0.6762889461192749,0.7352837211236563,0.6891704535329235,0.7044334975369458,f1_macro
random,2,0.750235328790376,5,107,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,2,0.5763532959190447,3,117,0.7832512315270936,0.7482652129504692,0.7772440895764458,0.7607156951869293,0.7832512315270936,f1_macro
random,2,0.6630775288410673,5,120,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,2,0.8200215230681047,4,99,0.812807881773399,0.7754982604087464,0.8025769516007181,0.7876199993573731,0.812807881773399,f1_macro
random,2,0.7726086248555375,4,141,0.8177339901477833,0.7803433868651259,0.7962142792783427,0.7877474784893531,0.8177339901477833,f1_macro
bayes,2,0.6544249775734792,4,143,0.8177339901477833,0.7823292629300139,0.8007506289896659,0.7909473488342597,0.8177339901477833,f1_macro
bayes,2,0.7726410104940722,4,80,0.8029556650246306,0.7629467840647965,0.7951780924458861,0.7772307481031345,0.8029556650246306,f1_macro
bayes,2,0.47625173598514525,4,60,0.7536945812807881,0.7156239655743132,0.7629627319291096,0.7336756351891808,0.7536945812807881,f1_macro
bayes,2,0.5491748685751064,5,79,0.812807881773399,0.7729044834307991,0.798040601889395,0.7843577620173364,0.812807881773399,f1_macro
bayes,2,0.7469007564745165,4,110,0.8226600985221675,0.7848963563249277,0.8079970058012601,0.7955460835186557,0.8226600985221676,f1_macro
random,3,0.5384920354256387,5,141,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
random,3,0.9550937883026078,3,82,0.7783251231527094,0.7399977748108589,0.7881431116101442,0.7588458023240632,0.7783251231527094,f1_macro
random,3,0.7607498837147872,4,70,0.8078817733990148,0.7710453368348106,0.799866924500447,0.783710096625564,0.8078817733990148,f1_macro
random,3,0.638972351259635,5,75,0.812807881773399,0.7729044834307991,0.798040601889395,0.7843577620173364,0.812807881773399,f1_macro
random,3,0.8880547778120618,5,56,0.8226600985221675,0.7870380974194533,0.8079970058012601,0.796799454210327,0.8226600985221676,f1_macro
bayes,3,0.6096003757941518,5,138,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,3,0.28040140776725997,4,124,0.7438423645320197,0.7121718632808314,0.7666153771512141,0.7310615288185381,0.7438423645320196,f1_macro
bayes,3,0.5150899830640521,4,87,0.8078817733990148,0.7700554805817963,0.7953305747891238,0.7815799842395587,0.8078817733990148,f1_macro
bayes,3,0.7318924781475828,5,141,0.8177339901477833,0.7784600389863549,0.7962142792783427,0.7864340734711104,0.8177339901477833,f1_macro
bayes,3,0.6948357602752013,4,118,0.8226600985221675,0.7848963563249277,0.8079970058012601,0.7955460835186557,0.8226600985221676,f1_macro
random,4,0.5615001365862751,5,96,0.812807881773399,0.7731412931305245,0.7935042521780716,0.7824123980250461,0.812807881773399,f1_macro
random,4,0.8998845607292594,5,109,0.8275862068965517,0.7898629561765155,0.8107070329015311,0.7995657059392345,0.8275862068965517,f1_macro
random,4,0.8951607139737896,4,68,0.8029556650246306,0.7638595296955799,0.797156897400176,0.7783190489001627,0.8029556650246306,f1_macro
random,4,0.48917617844922295,4,99,0.7980295566502463,0.7564045581935134,0.7828166261202254,0.7683394912199141,0.7980295566502463,f1_macro
random,4,0.5329990265119817,4,145,0.8177339901477833,0.7823292629300139,0.8007506289896659,0.7909473488342597,0.8177339901477833,f1_macro
bayes,4,0.7071433625144281,5,59,0.7980295566502463,0.7602926754225718,0.7808378211659354,0.7696563793401737,0.7980295566502463,f1_macro
