,Num,Max Depth,n_estimators,Max Features,Accuracy,Precision,Recall,F1 Score,Micro F1,Energy (J),Runtime (ms),Power (W)
0,0,3,50,0.2,0.8152654867256637,0.6572272377076707,0.8022864232541651,0.6837220605580661,0.8152654867256637,16.94,539654624.0,3.139044723537846e-11
1,1,3,50,0.5,0.7964601769911505,0.6460512846121196,0.7962222109687547,0.6667414649783618,0.7964601769911505,17.28,570206814.0,3.0304793937450214e-11
2,2,3,50,0.8,0.7986725663716814,0.6459989401165872,0.792981212336051,0.6673460144927535,0.7986725663716814,17.62,571266973.0,3.0843722519908396e-11
3,3,3,100,0.2,0.8108407079646017,0.6554908620410804,0.8042867270977869,0.6808008474313785,0.8108407079646017,18.32,638373748.0,2.8697921957780757e-11
4,4,3,100,0.5,0.7920353982300885,0.643339016976796,0.793740821390591,0.6625365357732875,0.7920353982300885,17.91,667625278.0,2.682642582625519e-11
5,5,3,100,0.8,0.7986725663716814,0.6488726873236623,0.8019445991796222,0.670363840359032,0.7986725663716814,19.02,666953349.0,2.8517736703050876e-11
6,5,3,100,0.8,0.7986725663716814,0.6488726873236623,0.8019445991796222,0.670363840359032,0.7986725663716814,18.79,666359285.0,2.8198001322964983e-11
7,7,3,150,0.5,0.7876106194690266,0.6407094801223242,0.7912594318124272,0.6583845063769485,0.7876106194690264,18.94,773575321.0,2.4483717985620693e-11
8,8,3,150,0.8,0.8030973451327433,0.6517021222903576,0.804425988757786,0.6746570910973085,0.8030973451327433,19.55,749218919.0,2.6093841872137777e-11
9,9,4,50,0.2,0.834070796460177,0.676933495868888,0.8307591026485036,0.7094816947758124,0.834070796460177,16.71,580833000.0,2.8769026553243362e-11
10,10,4,50,0.5,0.8042035398230089,0.652423788105947,0.805046336152327,0.675739429127276,0.8042035398230089,17.02,550680199.0,3.090723078641148e-11
11,11,4,50,0.8,0.8075221238938053,0.6518126693329893,0.7979439914923786,0.6759723137771918,0.8075221238938053,17.62,572443448.0,3.078033308191519e-11
12,12,4,100,0.2,0.8373893805309734,0.6759377507938169,0.8191750645667697,0.7085885332719319,0.8373893805309734,17.43,693353673.0,2.51386856069918e-11
13,13,4,100,0.5,0.8042035398230089,0.652423788105947,0.805046336152327,0.675739429127276,0.8042035398230089,18.14,660104046.0,2.7480516306364227e-11
14,14,4,100,0.8,0.8042035398230089,0.652423788105947,0.805046336152327,0.675739429127276,0.8042035398230089,18.63,666176893.0,2.7965545181405744e-11
15,14,4,100,0.8,0.8042035398230089,0.652423788105947,0.805046336152327,0.675739429127276,0.8042035398230089,18.28,646978814.0,2.8254402778635655e-11
16,16,4,150,0.5,0.8064159292035398,0.6552831179347035,0.8107687243631945,0.6794033903800751,0.8064159292035398,19.25,753396383.0,2.5550958876849292e-11
17,17,4,150,0.8,0.8019911504424779,0.6509862522414823,0.8038056413632451,0.6735784010150748,0.8019911504424779,20.16,743232985.0,2.7124738011997677e-11
18,18,5,50,0.2,0.8396017699115044,0.6702488563183363,0.793525598825138,0.7014061791699602,0.8396017699115044,16.89,567845676.0,2.9743996853116833e-11
19,18,5,50,0.2,0.8396017699115044,0.6702488563183363,0.793525598825138,0.7014061791699602,0.8396017699115044,16.97,562558793.0,3.0165735939354515e-11
20,20,5,50,0.8,0.8329646017699115,0.672214381604764,0.8166936749886058,0.7037718611045406,0.8329646017699115,17.45,566653752.0,3.079481947910935e-11
21,21,5,100,0.2,0.8473451327433629,0.6800487341019851,0.8068314174304958,0.7134061733273298,0.8473451327433629,18.24,685375664.0,2.6613142190587027e-11
22,22,5,100,0.5,0.8362831858407079,0.6762544208664898,0.8230364105940142,0.7089022914980463,0.8362831858407079,18.73,674713360.0,2.775993645657172e-11
23,23,5,100,0.8,0.827433628318584,0.6690622308354867,0.8180736314376867,0.6993835213465326,0.827433628318584,18.67,642254485.0,2.906947391733668e-11
24,23,5,100,0.8,0.827433628318584,0.6690622308354867,0.8180736314376867,0.6993835213465326,0.827433628318584,18.5,641186231.0,2.8852771793223365e-11
25,25,5,150,0.5,0.8285398230088495,0.6699328315387991,0.8186939788322276,0.7005567012512421,0.8285398230088495,19.38,754253399.0,2.569428261867203e-11
26,26,5,150,0.8,0.8285398230088495,0.6712313605538004,0.8231756722540133,0.7020593457298079,0.8285398230088495,19.62,732569208.0,2.6782452477855174e-11
