,Num,Max Depth,n_estimators,Max Features,Accuracy,Precision,Recall,F1 Score,Micro F1,Energy (J),Runtime (ms),Power (W)
0,0,3,50,0.2,0.5665024630541872,0.6178446306169079,0.7079027439890767,0.5848392321036493,0.5665024630541872,16.45,524685826.0,3.13520952631947e-11
1,0,3,50,0.2,0.5665024630541872,0.6178446306169079,0.7079027439890767,0.5848392321036493,0.5665024630541872,16.62,533427698.0,3.1156987277402306e-11
2,2,3,50,0.8,0.5320197044334976,0.6296998753139104,0.6889325542871797,0.5512500284724046,0.5320197044334976,16.54,558538194.0,2.9613015148611305e-11
3,3,3,100,0.2,0.5566502463054187,0.6183851609383525,0.7024826897885347,0.5761787505699955,0.5566502463054187,17.82,608550555.0,2.928269451664538e-11
4,4,3,100,0.5,0.5369458128078818,0.6175850647395363,0.6916425813874506,0.5559866962305987,0.5369458128078818,17.47,676551958.0,2.5822111359553555e-11
5,5,3,100,0.8,0.5270935960591133,0.6283366700033367,0.6862225271869087,0.5469121595703874,0.5270935960591133,17.8,686512024.0,2.592816932220258e-11
6,5,3,100,0.8,0.5270935960591133,0.6283366700033367,0.6862225271869087,0.5469121595703874,0.5270935960591133,17.41,640067513.0,2.7200255670529554e-11
7,7,3,150,0.5,0.5320197044334976,0.6225243891910558,0.6889325542871797,0.5514475236697459,0.5320197044334976,18.36,757702367.0,2.4231150382561758e-11
8,8,3,150,0.8,0.5270935960591133,0.6283366700033367,0.6862225271869087,0.5469121595703874,0.5270935960591133,18.41,776878445.0,2.369740094925661e-11
9,9,4,50,0.2,0.6354679802955665,0.6228053369825522,0.7069947809452519,0.6344884488448845,0.6354679802955665,16.22,544631898.0,2.9781582862779734e-11
10,10,4,50,0.5,0.5960591133004927,0.6321164038113136,0.7105538574567332,0.6055688782307488,0.5960591133004927,16.58,535602335.0,3.095580231180284e-11
11,11,4,50,0.8,0.5665024630541872,0.6463095310813837,0.7079027439890767,0.5850606909430439,0.5665024630541872,16.53,550736204.0,3.001436963820886e-11
12,12,4,100,0.2,0.5911330049261084,0.6197357203751065,0.7078438303564621,0.6052921144699267,0.5911330049261084,17.55,617658043.0,2.8413780406321043e-11
13,13,4,100,0.5,0.5812807881773399,0.6222623454003792,0.7024237761559201,0.5938853029457859,0.5812807881773399,17.43,657512656.0,2.6508995440537953e-11
14,14,4,100,0.8,0.5714285714285714,0.6391666666666667,0.7106127710893477,0.5910277902261172,0.5714285714285714,17.5,692028608.0,2.5287971909970518e-11
15,14,4,100,0.8,0.5714285714285714,0.6391666666666667,0.7106127710893477,0.5910277902261172,0.5714285714285714,17.65,610412606.0,2.8914868117910395e-11
16,16,4,150,0.5,0.5911330049261084,0.6262684505949393,0.7078438303564621,0.601865174527045,0.5911330049261084,19.12,701452661.0,2.7257719676681077e-11
17,17,4,150,0.8,0.5665024630541872,0.6374655426200991,0.7079027439890767,0.5869182760823628,0.5665024630541872,18.29,772193179.0,2.368578290692205e-11
18,18,5,50,0.2,0.7192118226600985,0.6846259437199725,0.7601591361182155,0.7066526331759307,0.7192118226600985,16.06,569058852.0,2.8222037041609886e-11
19,19,5,50,0.5,0.7192118226600985,0.6779824561403509,0.751086436695569,0.6994587257255166,0.7192118226600985,17.09,555294932.0,3.07764379164188e-11
20,20,5,50,0.8,0.7438423645320197,0.7038034078775209,0.7737092716195705,0.7263323278029161,0.7438423645320196,16.92,547997509.0,3.0876052759575597e-11
21,21,5,100,0.2,0.6600985221674877,0.6423646290667567,0.7205449164466069,0.6568562339462201,0.6600985221674877,17.15,687077314.0,2.4960800845186977e-11
22,22,5,100,0.5,0.7044334975369458,0.6726462408645394,0.7520290548174025,0.6915696100738155,0.7044334975369458,17.38,700876250.0,2.4797530234474345e-11
23,23,5,100,0.8,0.6847290640394089,0.6718530239099859,0.7547979955502879,0.6810463933238585,0.6847290640394089,17.28,672980871.0,2.5676807090108213e-11
24,23,5,100,0.8,0.6847290640394089,0.6718530239099859,0.7547979955502879,0.6810463933238585,0.6847290640394089,17.27,683918611.0,2.525154268685342e-11
25,25,5,150,0.5,0.7044334975369458,0.6726462408645394,0.7520290548174025,0.6915696100738155,0.7044334975369458,18.38,778628597.0,2.3605606152685398e-11
26,26,5,150,0.8,0.6798029556650246,0.6593589313659737,0.7384789193160475,0.6735278389573193,0.6798029556650246,18.02,813605463.0,2.214832719234089e-11
