,Num,Max Depth,n_estimators,Max Features,MSE,MAE,Energy (J),Runtime (ms),Power (W)
0,0,3,50,0.2,0.4717461721616025,0.5553415891987007,16.02,523690008.0,3.059061611883953e-11
1,0,3,50,0.2,0.4717461721616025,0.5553415891987007,16.06,525628724.0,3.05538857880225e-11
2,2,3,50,0.8,0.4331378353505446,0.5371970045168843,16.21,532027261.0,3.046836353748422e-11
3,3,3,100,0.2,0.4708778395682042,0.5548362539077117,16.77,611182009.0,2.7438634896073976e-11
4,4,3,100,0.5,0.4298386779996572,0.5319957094007222,17.5,615229178.0,2.8444684722024027e-11
5,5,3,100,0.8,0.4254444839557573,0.5291455108218507,17.65,616553070.0,2.8626895005161516e-11
6,5,3,100,0.8,0.4254444839557573,0.5291455108218507,16.91,608717057.0,2.7779737409264022e-11
7,7,3,150,0.5,0.4289185135211246,0.5294604998905754,18.08,710935171.0,2.543129210300386e-11
8,8,3,150,0.8,0.4246990212076733,0.5262227703938789,17.5,677414455.0,2.58335201896452e-11
9,9,4,50,0.2,0.4432610529865823,0.5388286582093731,16.2,529806057.0,3.057722686624551e-11
10,10,4,50,0.5,0.4181843508670819,0.5173303075876096,16.21,540401304.0,2.999622665603338e-11
11,10,4,50,0.5,0.4181843508670818,0.5173303075876096,16.11,523882960.0,3.075114334697964e-11
12,12,4,100,0.2,0.4485665010272676,0.543864306778324,17.5,653233603.0,2.6789803708245548e-11
13,13,4,100,0.5,0.4172093631079429,0.515986168133544,16.94,624750963.0,2.7114804143167045e-11
14,13,4,100,0.5,0.4172093631079431,0.5159861681335443,16.77,621671859.0,2.6975646005556124e-11
15,15,4,150,0.2,0.446263370098632,0.5416439195407798,17.52,706765182.0,2.4788997033529587e-11
16,16,4,150,0.5,0.4195099226014223,0.5175833064658462,17.44,689161473.0,2.530611574103476e-11
17,16,4,150,0.5,0.4195099226014223,0.5175833064658462,17.52,707323299.0,2.476943715097387e-11
18,18,5,50,0.2,0.4446520428964406,0.5353716974679215,15.71,548081125.0,2.8663639894550284e-11
19,19,5,50,0.5,0.4074080492729686,0.5100327657473291,16.26,542314071.0,2.9982626063928925e-11
20,19,5,50,0.5,0.4074080492729686,0.5100327657473291,15.91,531376883.0,2.994108420783521e-11
21,21,5,100,0.2,0.4383301960922134,0.532938433221579,16.88,632507418.0,2.6687434043658915e-11
22,21,5,100,0.2,0.4383301960922134,0.532938433221579,16.54,633578957.0,2.6105664996067725e-11
23,23,5,100,0.8,0.4116965806175822,0.5074278274948958,16.85,607961150.0,2.7715586760765884e-11
24,24,5,150,0.2,0.4322566007232906,0.5285127392625214,17.24,704545429.0,2.446967830657801e-11
25,24,5,150,0.2,0.4322566007232906,0.5285127392625213,17.46,722571802.0,2.41636885796991e-11
26,26,5,150,0.8,0.4126895346078694,0.5061863142447903,17.85,675832338.0,2.6411876136060244e-11
