,Num,Max Depth,N_estimators,Colsample By Tree,Learning Rate,Accuracy,Precision,Recall,F1 Score,Micro F1,Energy (J),Runtime (ms),Power (W)
0,0,3,50,0.1,0.2,0.9015486725663716,0.8209634255129349,0.5683268344558667,0.5933423301844355,0.9015486725663716,21.32,604118614.0,3.529108275415596e-11
1,1,3,50,0.01,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,17.69,545123379.0,3.245136914225064e-11
2,2,3,50,0.001,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,21.29,606352664.0,3.511157988414478e-11
3,3,3,50,0.1,0.5,0.9026548672566372,0.7762416794674859,0.6092824226464779,0.6453574421797821,0.9026548672566372,19.63,583379335.0,3.364877502902978e-11
4,4,3,50,0.01,0.5,0.9015486725663716,0.9502793296089386,0.5459183673469388,0.5579510678160731,0.9015486725663716,17.62,547646490.0,3.217403986283195e-11
5,5,3,50,0.001,0.5,0.8971238938053098,0.9482758620689656,0.5255102040816326,0.5212709620476611,0.8971238938053098,19.57,576624518.0,3.393889678482246e-11
6,6,3,50,0.1,0.8,0.9004424778761062,0.7571759259259259,0.6125234212791817,0.6469669356938297,0.9004424778761062,21.93,604640774.0,3.6269469316338234e-11
7,7,3,50,0.01,0.8,0.9004424778761062,0.7714721586575133,0.5901149541702537,0.6216517857142858,0.9004424778761062,21.08,598486132.0,3.5222202943208714e-11
8,8,3,50,0.001,0.8,0.9004424778761062,0.7714721586575133,0.5901149541702537,0.6216517857142858,0.9004424778761062,18.04,549084837.0,3.285466795725776e-11
9,9,3,100,0.1,0.2,0.9004424778761062,0.7645706558485463,0.5990783410138248,0.6322412670861358,0.9004424778761062,21.32,611983062.0,3.483756548804614e-11
10,10,3,100,0.01,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,19.51,551196958.0,3.5395696069861114e-11
11,11,3,100,0.001,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,18.5,553903954.0,3.339929218125783e-11
12,12,3,100,0.1,0.5,0.9081858407079646,0.7879341210168278,0.6527194004152529,0.6927021260039234,0.9081858407079646,19.12,544532581.0,3.5112683183965446e-11
13,13,3,100,0.01,0.5,0.9004424778761062,0.8439807383627609,0.554261406795969,0.5716812668463612,0.9004424778761062,22.02,608938903.0,3.61612632917953e-11
14,14,3,100,0.001,0.5,0.9015486725663716,0.9502793296089386,0.5459183673469388,0.5579510678160731,0.9015486725663716,23.68,642012501.0,3.6884016998292064e-11
15,15,3,100,0.1,0.8,0.8960176991150443,0.7281509570241964,0.6279688053881602,0.6583192601527945,0.8960176991150443,21.81,587489301.0,3.712408032431555e-11
16,16,3,100,0.01,0.8,0.8993362831858407,0.7534680008728452,0.6029396870410695,0.6357663102432977,0.8993362831858407,21.43,608129586.0,3.5239199824098016e-11
17,17,3,100,0.001,0.8,0.8993362831858407,0.7646305418719213,0.5850129133539272,0.6146650615728358,0.8993362831858407,21.12,600561043.0,3.516711622601868e-11
18,18,3,150,0.1,0.2,0.9015486725663716,0.7625837266483905,0.6176254620955082,0.653193442849076,0.9015486725663716,20.66,602160452.0,3.43097922345787e-11
19,19,3,150,0.01,0.2,0.8949115044247787,0.9472807991120976,0.5153061224489796,0.5018763739291328,0.8949115044247787,23.63,639884671.0,3.692852957873091e-11
20,20,3,150,0.001,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,20.87,615022310.0,3.393372835531771e-11
21,21,3,150,0.1,0.5,0.9070796460176992,0.7771677559912854,0.6610624398642831,0.698321891685736,0.9070796460176992,21.27,600123413.0,3.544270984808253e-11
22,22,3,150,0.01,0.5,0.8993362831858407,0.8352326685660019,0.5491593659796425,0.5632780688761833,0.8993362831858407,21.55,603624097.0,3.5701026693770314e-11
23,23,3,150,0.001,0.5,0.8993362831858407,0.9492753623188406,0.5357142857142857,0.5399491094147583,0.8993362831858407,19.63,567262954.0,3.4604762855710826e-11
24,24,3,150,0.1,0.8,0.8938053097345132,0.7180827886710239,0.6267281105990783,0.6552250190694127,0.8938053097345132,24.14,657134347.0,3.673525833827706e-11
25,25,3,150,0.01,0.8,0.8993362831858407,0.7515191937157255,0.6074213804628551,0.6406540076094126,0.8993362831858407,20.75,595854518.0,3.4823936671065064e-11
26,26,3,150,0.001,0.8,0.8993362831858407,0.7646305418719213,0.5850129133539272,0.6146650615728358,0.8993362831858407,20.82,589838006.0,3.529782718002746e-11
27,27,4,50,0.1,0.2,0.8982300884955752,0.7705627705627706,0.5664657922722439,0.5894154818325434,0.8982300884955752,18.92,569992432.0,3.319342317162555e-11
28,28,4,50,0.01,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,17.78,541993199.0,3.2804839678440324e-11
29,29,4,50,0.001,0.2,0.8915929203539823,0.4457964601769911,0.5,0.471345029239766,0.8915929203539823,21.0,602018526.0,3.4882647448626856e-11
30,30,4,50,0.1,0.5,0.9059734513274336,0.7917148362235067,0.6245885450954576,0.664347149964836,0.9059734513274338,19.97,577238870.0,3.4595729840577086e-11
