,Num,Max Depth,N_estimators,Colsample By Tree,Learning Rate,Accuracy,Precision,Recall,F1 Score,Micro F1,Energy (J),Runtime (ms),Power (W)
0,0,3,50,0.1,0.2,0.5369458128078818,0.6422510013648114,0.6723397029366712,0.5568296202442543,0.5369458128078818,16.04,533215520.0,3.008164503538832e-11
1,1,3,50,0.01,0.2,0.4039408866995074,0.647944339025933,0.5869599872469312,0.4363832761197589,0.4039408866995074,16.61,536348986.0,3.096864249501909e-11
2,2,3,50,0.001,0.2,0.3743842364532019,0.5952380952380952,0.5565120357085923,0.4058641975308641,0.3743842364532019,16.41,500107046.0,3.281297500455533e-11
3,3,3,50,0.1,0.5,0.5467980295566502,0.6252641866715534,0.6879899361653462,0.5684095860566448,0.5467980295566502,16.98,529871940.0,3.2045478762283585e-11
4,4,3,50,0.01,0.5,0.4729064039408867,0.6252489048187972,0.6564122290839277,0.4970154646625235,0.4729064039408867,16.84,506178943.0,3.3268867132625865e-11
5,5,3,50,0.001,0.5,0.4334975369458128,0.6184062850729517,0.6347320122817597,0.4579527214358674,0.4334975369458128,16.88,533029792.0,3.166802353891694e-11
6,6,3,50,0.1,0.8,0.5320197044334976,0.6061407882814049,0.6707871554418868,0.5558533472560622,0.5320197044334976,17.03,526826510.0,3.2325632208599375e-11
7,7,3,50,0.01,0.8,0.5073891625615764,0.6368778280542987,0.6753824187858246,0.5321375798495079,0.5073891625615764,16.45,524604574.0,3.135695115002943e-11
8,8,3,50,0.001,0.8,0.4433497536945813,0.6281389748882009,0.6401520664823016,0.4730774393320158,0.4433497536945813,17.06,538751530.0,3.166580334351904e-11
9,9,3,100,0.1,0.2,0.5812807881773399,0.6238832772166106,0.7018450363531769,0.5919466013563034,0.5812807881773399,17.52,542129936.0,3.231697575911026e-11
10,10,3,100,0.01,0.2,0.4088669950738916,0.6465141612200436,0.5967639088155587,0.4412779923251991,0.4088669950738916,17.85,557820979.0,3.1999513593051867e-11
11,11,3,100,0.001,0.2,0.4088669950738916,0.6465141612200436,0.5967639088155587,0.4412779923251991,0.4088669950738916,17.92,549611285.0,3.260486181611064e-11
12,12,3,100,0.1,0.5,0.6748768472906403,0.6510352392705334,0.7150659486134504,0.6663261316483156,0.6748768472906403,17.71,554315226.0,3.1949329856582363e-11
13,13,3,100,0.01,0.5,0.458128078817734,0.6225818994847866,0.6482821477831147,0.482696105966985,0.458128078817734,17.69,545554488.0,3.2425725365859334e-11
14,14,3,100,0.001,0.5,0.4236453201970443,0.6168232909526442,0.6293119580812175,0.4477162933684673,0.4236453201970443,16.77,529871209.0,3.1649200249338324e-11
15,15,3,100,0.1,0.8,0.625615763546798,0.6290302089215133,0.69959592179042,0.6329365079365079,0.625615763546798,18.57,567515518.0,3.272157220553747e-11
16,16,3,100,0.01,0.8,0.5024630541871922,0.6294109930473567,0.6655784972171972,0.5293164058043937,0.5024630541871922,17.76,549088996.0,3.234448355253508e-11
17,17,3,100,0.001,0.8,0.4334975369458128,0.6040591675266598,0.6276381178134032,0.4605394663963625,0.4334975369458128,18.16,554337567.0,3.2759821958810166e-11
18,18,3,150,0.1,0.2,0.6059113300492611,0.6256410256410256,0.6992285779635289,0.6120310412169802,0.6059113300492611,20.92,587106945.0,3.563234974166419e-11
19,19,3,150,0.01,0.2,0.4285714285714285,0.6474632527264106,0.6146979116849992,0.4612502045491736,0.4285714285714285,17.64,552776260.0,3.191164540966358e-11
20,20,3,150,0.001,0.2,0.4088669950738916,0.6465141612200436,0.5967639088155587,0.4412779923251991,0.4088669950738916,17.61,546085984.0,3.2247668894574665e-11
21,21,3,150,0.1,0.5,0.7142857142857143,0.6828000398724083,0.748376409595298,0.7016858778326668,0.7142857142857143,18.11,557474018.0,3.24858189175733e-11
22,22,3,150,0.01,0.5,0.4679802955665024,0.6243456790123457,0.6537022019836566,0.4922831971704153,0.4679802955665024,19.21,587737397.0,3.268466512094346e-11
23,23,3,150,0.001,0.5,0.4236453201970443,0.6168232909526442,0.6293119580812175,0.4477162933684673,0.4236453201970443,18.64,570108651.0,3.269552210320696e-11
24,24,3,150,0.1,0.8,0.7192118226600985,0.6801587301587301,0.730383493093243,0.6990024079807361,0.7192118226600985,18.08,569355117.0,3.175522527182275e-11
25,25,3,150,0.01,0.8,0.5024630541871922,0.638578296332307,0.6726723916855537,0.5293147852499737,0.5024630541871922,18.11,561650289.0,3.224426365424696e-11
26,26,3,150,0.001,0.8,0.4630541871921182,0.6190033222591362,0.6438982804150292,0.4930077065016824,0.4630541871921182,18.65,565992091.0,3.2950990475942886e-11
27,27,4,50,0.1,0.2,0.5714285714285714,0.6394696512651952,0.6913098926385683,0.582388318598637,0.5714285714285714,16.62,523242730.0,3.176346090847741e-11
28,28,4,50,0.01,0.2,0.4285714285714285,0.6665337586390218,0.6076040172166427,0.4688442592539131,0.4285714285714285,16.37,521498900.0,3.139028672927211e-11
29,29,4,50,0.001,0.2,0.4039408866995074,0.6538461538461539,0.5869599872469312,0.438847174836233,0.4039408866995074,16.62,522180889.0,3.182805106450382e-11
30,30,4,50,0.1,0.5,0.5714285714285714,0.6264147140337616,0.6924673722440549,0.5910051474375172,0.5714285714285714,16.88,525821164.0,3.210216924627248e-11
31,31,4,50,0.01,0.5,0.5221674876847291,0.6374624008750343,0.6835125000866377,0.5438145905949979,0.5221674876847291,16.76,507668997.0,3.3013637033265595e-11
32,32,4,50,0.001,0.5,0.4975369458128079,0.6323899371069183,0.6699623645852827,0.5216158752657689,0.4975369458128079,16.64,530243076.0,3.138183364038873e-11
