,Num,Max Depth,N_estimators,Colsample By Tree,Learning Rate,MSE,MAE,Energy (J),Runtime (ms),Power (W)
0,0,3,50,0.1,0.2,0.4605377676678824,0.5519674547016621,16.36,508277367.0,3.218715028875169e-11
1,1,3,50,0.01,0.2,2.8870340313288074,1.5428529672324658,15.92,508203980.0,3.132600417651196e-11
2,2,3,50,0.001,0.2,5.855425274274791,2.284100009687245,15.99,506925362.0,3.1543105156376056e-11
3,3,3,50,0.1,0.5,0.4098265534561142,0.5040741093456745,16.01,499542648.0,3.2049315637210624e-11
4,4,3,50,0.01,0.5,2.77761857917808,1.519707554578781,15.76,480558671.0,3.2795163111311335e-11
5,5,3,50,0.001,0.5,5.836766348148773,2.28137394990772,16.53,505902695.0,3.26742675288575e-11
6,6,3,50,0.1,0.8,0.4129753473123728,0.4994002543389797,15.88,505136828.0,3.143702680098391e-11
7,7,3,50,0.01,0.8,2.7334700137284798,1.5091713577508927,15.99,490492247.0,3.259990366371683e-11
8,8,3,50,0.001,0.8,5.825896711365576,2.279558972455561,16.26,514786393.0,3.158591645214679e-11
9,9,3,100,0.1,0.2,0.4431442628558318,0.527416019514203,16.34,501559621.0,3.2578380148349305e-11
10,10,3,100,0.01,0.2,1.5144098998643396,1.0496834386140108,16.06,498707622.0,3.220323751137695e-11
11,11,3,100,0.001,0.2,5.4017770567218975,2.184429638646543,16.17,510265054.0,3.1689412930088685e-11
12,12,3,100,0.1,0.5,0.421495041970889,0.5051396150141955,16.46,509605898.0,3.229946918706973e-11
13,13,3,100,0.01,0.5,1.3908370096343372,1.0127154309302568,16.72,514092812.0,3.252331020726273e-11
14,14,3,100,0.001,0.5,5.366256466796499,2.178891942463815,16.38,509727186.0,3.2134836928238706e-11
15,15,3,100,0.1,0.8,0.4321648324997961,0.5054229170083999,16.93,520478937.0,3.25277332020066e-11
16,16,3,100,0.01,0.8,1.3373832137308117,0.9934759132564068,16.26,507242286.0,3.205568709230208e-11
17,17,3,100,0.001,0.8,5.339895306753599,2.174029121734202,16.61,514904404.0,3.225841509796059e-11
18,18,3,150,0.1,0.2,0.4479699907994526,0.5240182831883431,16.37,518795310.0,3.15538704465158e-11
19,19,3,150,0.01,0.2,0.9351405105888626,0.7821381106972695,16.64,520569647.0,3.196498316007272e-11
20,20,3,150,0.001,0.2,4.987741502456994,2.0893330262973904,16.52,513287912.0,3.218466598138006e-11
21,21,3,150,0.1,0.5,0.4369079078519119,0.5132396452128887,16.72,511455467.0,3.2691018238739445e-11
22,22,3,150,0.01,0.5,0.8250656163472729,0.7362107340246439,16.82,517396747.0,3.250890172295575e-11
23,23,3,150,0.001,0.5,4.937989796756531,2.0813363691791893,16.7,507002997.0,3.2938661307361065e-11
24,24,3,150,0.1,0.8,0.4498244937857737,0.5163946617394686,17.0,516092482.0,3.293983267130793e-11
25,25,3,150,0.01,0.8,0.7954572627982468,0.7203672450035811,17.22,521151839.0,3.304219367822282e-11
26,26,3,150,0.001,0.8,4.900817547115892,2.074179079569876,17.17,518550190.0,3.311154895151037e-11
27,27,4,50,0.1,0.2,0.4586426108322616,0.543926277756691,16.03,500032717.0,3.2057902323219384e-11
28,28,4,50,0.01,0.2,2.8884658805157875,1.543609418347478,16.06,507702099.0,3.1632723267508097e-11
29,29,4,50,0.001,0.2,5.855458517597937,2.284159972704947,16.05,487357449.0,3.2932706851886036e-11
30,30,4,50,0.1,0.5,0.4204786318721708,0.5060441695153713,16.32,507201740.0,3.217654576658195e-11
31,31,4,50,0.01,0.5,2.776337514766592,1.5200219217687845,16.17,510164706.0,3.1695646150794294e-11
32,32,4,50,0.001,0.5,5.837243380523721,2.2816735815256832,16.21,514616524.0,3.1499182875052806e-11
33,33,4,50,0.1,0.8,0.419359842899219,0.4988943867385387,15.81,472608803.0,3.34526142967337e-11
34,34,4,50,0.01,0.8,2.7224859562120995,1.50703105032444,16.07,500528417.0,3.210606921444782e-11
35,35,4,50,0.001,0.8,5.825244511713474,2.279725305736065,16.02,500956129.0,3.1978848191714607e-11
36,36,4,100,0.1,0.2,0.4464008146771334,0.5200467798858881,16.46,498028689.0,3.305030485904398e-11
37,37,4,100,0.01,0.2,1.5176308519514825,1.0529223956167697,16.19,515783743.0,3.138912425938947e-11
38,38,4,100,0.001,0.2,5.401728270155151,2.184510935097933,16.52,526793969.0,3.135950859756331e-11
39,39,4,100,0.1,0.5,0.437524805745945,0.5127686999738217,16.47,508830143.0,3.2368365409515447e-11
40,40,4,100,0.01,0.5,1.3798094953087894,1.0095769476145506,16.81,527037515.0,3.1895262711991195e-11
41,41,4,100,0.001,0.5,5.366106638725005,2.179279028438032,16.77,520063458.0,3.2246064863876666e-11
42,42,4,100,0.1,0.8,0.4352572062699039,0.506152142956853,16.46,513817867.0,3.203469761786233e-11
43,43,4,100,0.01,0.8,1.323445998751615,0.9895398937165736,16.85,520969186.0,3.234356359802056e-11
44,44,4,100,0.001,0.8,5.338025467640973,2.1742519572377206,16.84,527027978.0,3.1952762856927496e-11
45,45,4,150,0.1,0.2,0.4531938725345352,0.5203050799667835,16.84,520817322.0,3.2333793997734965e-11
46,46,4,150,0.01,0.2,0.93760197975421,0.783076674491167,17.28,533825394.0,3.2370134868480985e-11
47,47,4,150,0.001,0.2,4.987609969810381,2.089424794353545,16.85,521508898.0,3.2310091092635585e-11
48,48,4,150,0.1,0.5,0.4503246833046171,0.5197308126837015,17.15,524825197.0,3.267754692044635e-11
49,49,4,150,0.01,0.5,0.817915965312811,0.7341491024941206,17.08,505326995.0,3.379989624342155e-11
50,50,4,150,0.001,0.5,4.93776263814606,2.081935958750546,17.06,518228838.0,3.2919819873088574e-11
51,51,4,150,0.1,0.8,0.4526107978643402,0.5168221786618232,17.83,532757311.0,3.346739618933169e-11
52,52,4,150,0.01,0.8,0.778379092688821,0.7113478854298592,17.43,534689073.0,3.2598384519445753e-11
53,53,4,150,0.001,0.8,4.8993739743805,2.074774029292166,17.46,517165824.0,3.3760931580815365e-11
54,54,5,50,0.1,0.2,0.467435912063228,0.5518024604767561,16.91,511089751.0,3.3086165329893304e-11
55,55,5,50,0.01,0.2,2.8923875302561437,1.5450492262840272,16.06,506441284.0,3.1711474769896524e-11
56,56,5,50,0.001,0.2,5.855507532456768,2.2842173662036656,15.66,507645633.0,3.0848290583049296e-11
57,57,5,50,0.1,0.5,0.4300880922197193,0.5183619674295187,16.36,514547435.0,3.179493062675553e-11
58,58,5,50,0.01,0.5,2.775295702899798,1.5201548393815756,16.52,511675800.0,3.228606863955653e-11
59,59,5,50,0.001,0.5,5.838190164179487,2.2819845909252763,16.24,506518800.0,3.206198861720433e-11
60,60,5,50,0.1,0.8,0.433353274415346,0.506237706542015,16.38,520148448.0,3.149101004334824e-11
61,61,5,50,0.01,0.8,2.7236395806606617,1.508401530236006,16.32,516644317.0,3.158846320959338e-11
62,62,5,50,0.001,0.8,5.825464264085708,2.2799098072573543,17.27,512660356.0,3.3687020651934316e-11
