Num,Max Depth,n_estimators,LR,MSE,MAE
0,3,50,0.1,0.42407432998130934,0.5285230293245744
1,3,50,0.01,0.42407432998130934,0.5285230293245745
2,3,50,0.001,0.4240743299813093,0.5285230293245746
3,3,100,0.1,0.42350822154607604,0.5263562631701026
4,3,100,0.01,0.42350822154607604,0.5263562631701026
5,3,100,0.001,0.423508221546076,0.5263562631701025
6,3,150,0.1,0.42213367436104904,0.523567384565075
7,3,150,0.01,0.42213367436104904,0.5235673845650749
8,3,150,0.001,0.42213367436104904,0.5235673845650749
9,4,50,0.1,0.4183639687962817,0.5160028646871366
10,4,50,0.01,0.4183639687962817,0.5160028646871366
11,4,50,0.001,0.4183639687962817,0.5160028646871366
12,4,100,0.1,0.41784572756159466,0.5140026033633648
13,4,100,0.01,0.41784572756159477,0.5140026033633649
14,4,100,0.001,0.41784572756159477,0.5140026033633648
15,4,150,0.1,0.41531959074192903,0.5105138914763933
16,4,150,0.01,0.4153195907419291,0.5105138914763933
17,4,150,0.001,0.41531959074192903,0.5105138914763933
18,5,50,0.1,0.41585894265196055,0.5062830909416967
19,5,50,0.01,0.41585894265196044,0.5062830909416967
20,5,50,0.001,0.41585894265196055,0.5062830909416967
21,5,100,0.1,0.4132360667337112,0.5030714936249361
22,5,100,0.01,0.4132360667337112,0.5030714936249361
23,5,100,0.001,0.41323606673371127,0.5030714936249362
24,5,150,0.1,0.4130330586632371,0.5010883140873876
25,5,150,0.01,0.4130330586632371,0.5010883140873876
26,5,150,0.001,0.4130330586632371,0.5010883140873876
