Num,Max Depth,n_estimators,Max Features,MSE,MAE
0,3,50,0.25,0.4717461721616024,0.5553415891987006
1,3,50,0.5,0.4306689426423391,0.5305835065900955
2,3,50,1,0.5494265204765147,0.5991939290200244
3,3,100,0.25,0.4708778395682042,0.5548362539077119
4,3,100,0.5,0.42983867799965714,0.5319957094007223
5,3,100,1,0.5302964280572792,0.5849413792597786
6,3,150,0.25,0.4683492968720221,0.5533015360230028
7,3,150,0.5,0.42891851352112464,0.5294604998905754
8,3,150,1,0.5235464824324157,0.5819986707038015
9,4,50,0.25,0.44326105298658247,0.5388286582093731
10,4,50,0.5,0.41818435086708183,0.5173303075876096
11,4,50,1,0.5157425979194522,0.5757252764176384
12,4,100,0.25,0.44856650102726753,0.543864306778324
13,4,100,0.5,0.4172093631079431,0.5159861681335443
14,4,100,1,0.510380821685091,0.5716990342212958
15,4,150,0.25,0.446263370098632,0.5416439195407798
16,4,150,0.5,0.4195099226014224,0.5175833064658462
17,4,150,1,0.49743103990000714,0.5657762787022476
18,5,50,0.25,0.44465204289644067,0.5353716974679215
19,5,50,0.5,0.4074080492729687,0.5100327657473291
20,5,50,1,0.49486222713298583,0.5628435641284382
21,5,100,0.25,0.43833019609221324,0.532938433221579
22,5,100,0.5,0.41187077376930165,0.5110383957612045
23,5,100,1,0.48290815794906256,0.5564267059303483
24,5,150,0.25,0.4322566007232906,0.5285127392625213
25,5,150,0.5,0.41304310063656297,0.5084374188979681
26,5,150,1,0.47404157288565807,0.5503240110611252
