Num,Max Depth,n_estimators,Max Features,MSE,MAE
0,3,50,0.1,0.41358640907766697,0.4969958994537592
1,3,50,0.01,2.7109773807843114,1.5027025122195483
2,3,50,0.001,5.819699226424526,2.2785792488604786
3,3,100,0.1,0.4341210467199989,0.5073865100741386
4,3,100,0.01,1.3295196616315945,0.9891781520098448
5,3,100,0.001,5.328433775857684,2.172182989679277
6,3,150,0.1,0.4483425232225505,0.5154925465583802
7,3,150,0.01,0.7948226325854038,0.7152559779584408
8,3,150,0.001,4.881443425061228,2.0706476086750625
9,4,50,0.1,0.42476544830590796,0.5043836265802384
10,4,50,0.01,2.7131655722714685,1.5047953417524695
11,4,50,0.001,5.815535752172833,2.278077438287437
12,4,100,0.1,0.4394936583384779,0.5087035141885281
13,4,100,0.01,1.313311441730977,0.9851906247437
14,4,100,0.001,5.323930172052828,2.171809016354382
15,4,150,0.1,0.4627536519141822,0.5259806450456381
16,4,150,0.01,0.7729461260136602,0.7059857346117496
17,4,150,0.001,4.880420089204017,2.071280875988305
18,5,50,0.1,0.4345674064792819,0.5091896127909422
19,5,50,0.01,2.714145473097583,1.5046630006283521
20,5,50,0.001,5.814851889237396,2.2780439293012025
21,5,100,0.1,0.45127489356596584,0.5220320168882608
22,5,100,0.01,1.30821257257472,0.9836332816630602
23,5,100,0.001,5.320915004825613,2.1715395679697393
24,5,150,0.1,0.46828538025118893,0.5389623414725065
25,5,150,0.01,0.7644711072707185,0.7064167875796556
26,5,150,0.001,4.87763142279577,2.071033061295748
